variable,level,count
gender,0,595
gender,1,571
age,21,211
age,22,140
age,19,127
age,20,102
age,40,75
age,24,64
age,25,59
age,23,55
age,30,38
age,28,36
age,26,34
age,18,28
age,32,27
age,27,27
age,35,20
age,29,19
age,31,11
age,34,11
age,45,9
age,37,7
age,50,7
age,33,7
age,41,6
age,36,6
age,39,5
age,47,4
age,55,3
age,49,3
age,43,3
age,52,3
age,54,2
age,17,2
age,38,2
age,44,2
age,71,2
age,62,1
age,59,1
age,46,1
age,48,1
age,53,1
age,70,1
age,51,1
age,60,1
age,42,1
Education,3,828
Education,4,167
Education,1,95
Education,2,76
Occupation,1,584
Occupation,5,319
Occupation,4,80
Occupation,3,70
Occupation,7,68
Occupation,6,30
Occupation,2,15
income,4,513
income,3,415
income,2,184
income,1,54
