item,N,n_missing,n_unique,min,max,mean,SD
ATT1,1166,0,5,1.0,5.0,3.2941680960548885,1.0580167466052437
ATT2,1166,0,5,1.0,5.0,3.737564322469983,0.9281920599482169
ATT3,1166,0,5,1.0,5.0,3.8499142367066894,0.9729098831377002
CON1,1166,0,5,1.0,5.0,3.8147512864493995,0.9236921053416266
CON2,1166,0,5,1.0,5.0,3.8001715265866207,0.9745429062554275
CON3,1166,0,5,1.0,5.0,3.969982847341338,0.9356778542403545
SNO1,1166,0,5,1.0,5.0,4.100343053173241,0.9426744270141999
SNO2,1166,0,5,1.0,5.0,3.7564322469982847,1.0336928085481765
SNO3,1166,0,5,1.0,5.0,3.9708404802744424,0.9818125378656332
COVID1,1166,0,5,1.0,5.0,4.051457975986278,0.9231930600526967
COVID2,1166,0,5,1.0,5.0,3.765008576329331,0.9482816399129065
COVID3,1166,0,5,1.0,5.0,4.049742710120069,0.91488169586897
INT1,1166,0,5,1.0,5.0,3.724699828473413,0.9286238121531369
INT2,1166,0,5,1.0,5.0,3.923670668953688,0.933959538847015
INT3,1166,0,5,1.0,5.0,4.024871355060034,0.8858829550486429
BE1,1166,0,5,1.0,5.0,4.052315608919383,0.9689642042206067
BE2,1166,0,5,1.0,5.0,3.8747855917667238,0.9492344764749673
BE3,1166,0,5,1.0,5.0,3.45368782161235,1.1213875304497218
BE4,1166,0,5,1.0,5.0,3.7735849056603774,0.9467479531407804
PU1,1166,0,5,1.0,5.0,3.769296740994854,0.9587817839811574
PU2,1166,0,5,1.0,5.0,3.8747855917667238,0.941060809699289
PU3,1166,0,5,1.0,5.0,3.8773584905660377,0.8941691250339053
PEU1,1166,0,5,1.0,5.0,3.422813036020583,1.0598214981462306
PEU2,1166,0,5,1.0,5.0,3.775300171526587,0.9948919517498485
PO1,1166,0,5,1.0,5.0,3.7778730703259007,0.967040139335141
PO2,1166,0,5,1.0,5.0,3.753859348198971,0.9911010190618802
PRI1,1166,0,5,1.0,5.0,3.9519725557461407,0.7636092652500887
PRI2,1166,0,5,1.0,5.0,3.957975986277873,0.7667672640319789
PRI3,1166,0,5,1.0,5.0,3.978559176672384,0.7798227923587768
