column,min,max,mean,median,sd
ATT1,1,5,3.2941680960548885,3.0,1.0580167466052437
ATT2,1,5,3.737564322469983,4.0,0.9281920599482169
ATT3,1,5,3.8499142367066894,4.0,0.9729098831377002
CON1,1,5,3.8147512864493995,4.0,0.9236921053416266
CON2,1,5,3.8001715265866207,4.0,0.9745429062554275
CON3,1,5,3.969982847341338,4.0,0.9356778542403545
SNO1,1,5,4.100343053173241,4.0,0.9426744270141999
SNO2,1,5,3.7564322469982847,4.0,1.0336928085481765
SNO3,1,5,3.9708404802744424,4.0,0.9818125378656332
COVID1,1,5,4.051457975986278,4.0,0.9231930600526967
COVID2,1,5,3.765008576329331,4.0,0.9482816399129065
COVID3,1,5,4.049742710120069,4.0,0.91488169586897
INT1,1,5,3.724699828473413,4.0,0.9286238121531369
INT2,1,5,3.923670668953688,4.0,0.933959538847015
INT3,1,5,4.024871355060034,4.0,0.8858829550486429
BE1,1,5,4.052315608919383,4.0,0.9689642042206067
BE2,1,5,3.8747855917667238,4.0,0.9492344764749673
BE3,1,5,3.45368782161235,3.0,1.1213875304497218
BE4,1,5,3.7735849056603774,4.0,0.9467479531407804
PU1,1,5,3.769296740994854,4.0,0.9587817839811574
PU2,1,5,3.8747855917667238,4.0,0.941060809699289
PU3,1,5,3.8773584905660377,4.0,0.8941691250339053
PEU1,1,5,3.422813036020583,3.0,1.0598214981462306
PEU2,1,5,3.775300171526587,4.0,0.9948919517498485
PO1,1,5,3.7778730703259007,4.0,0.967040139335141
PO2,1,5,3.753859348198971,4.0,0.9911010190618802
PRI1,1,5,3.9519725557461407,4.0,0.7636092652500887
PRI2,1,5,3.957975986277873,4.0,0.7667672640319789
PRI3,1,5,3.978559176672384,4.0,0.7798227923587768
gender,0,1,0.4897084048027444,0.0,0.5001085726391348
age,17,71,25.695540308747855,22.0,7.961652556131426
Education,1,4,2.9150943396226414,3.0,0.7263255395314542
Occupation,1,7,2.911663807890223,1.0,2.0832257448594547
income,1,4,3.1895368782161233,3.0,0.8647172501304485
