,ATT,CON,SNO,COVID,INT,BE,PU,PEU,PO,PRI
ATT,1.0,0.6232612661523792,0.5640524527619537,0.5431778027716425,0.5569443651613439,0.5208225720732397,0.4837380222324109,0.41120673894525916,0.5073208980887828,0.46992266593549653
CON,0.6232612661523792,1.0,0.6532589306359179,0.6283605889305246,0.5974498420146285,0.559050311393356,0.5844045105476807,0.4366263409690207,0.5178343408959386,0.5066972383685291
SNO,0.5640524527619537,0.6532589306359179,1.0,0.7148710846351869,0.7123374580201937,0.6223598343146522,0.6212171599208226,0.48909605001074447,0.5901650571074196,0.5577184923932842
COVID,0.5431778027716425,0.6283605889305246,0.7148710846351869,1.0,0.6415086745147587,0.5687360597711058,0.6299097018666275,0.4565024716362495,0.5261103015783515,0.5084446309580304
INT,0.5569443651613439,0.5974498420146285,0.7123374580201937,0.6415086745147587,1.0,0.6514575831525619,0.6766477617409535,0.4944249911386016,0.5426491178530548,0.6209548496602483
BE,0.5208225720732397,0.559050311393356,0.6223598343146522,0.5687360597711058,0.6514575831525619,1.0,0.6707765873384215,0.5137809231177444,0.5799649442594985,0.7141227138319012
PU,0.4837380222324109,0.5844045105476807,0.6212171599208226,0.6299097018666275,0.6766477617409535,0.6707765873384215,1.0,0.49278979076537205,0.5775800464089217,0.5731305022587451
PEU,0.41120673894525916,0.4366263409690207,0.48909605001074447,0.4565024716362495,0.4944249911386016,0.5137809231177444,0.49278979076537205,1.0,0.510798861876272,0.4175781868723696
PO,0.5073208980887828,0.5178343408959386,0.5901650571074196,0.5261103015783515,0.5426491178530548,0.5799649442594985,0.5775800464089217,0.510798861876272,1.0,0.4784976275785253
PRI,0.46992266593549653,0.5066972383685291,0.5577184923932842,0.5084446309580304,0.6209548496602483,0.7141227138319012,0.5731305022587451,0.4175781868723696,0.4784976275785253,1.0
