respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3
0,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
1,0,0.9932190352150728,0.006775484858279809,1.5553164142020615e-07,5.324395005981879e-06
2,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
3,1,0.0,0.9026319714013488,0.046869536594049535,0.05049849200460182
4,1,0.0,0.9782163629634423,0.02119176653603855,0.0005918705005192407
5,2,0.0,0.3931990297981516,0.6045964535100947,0.002204516691753737
6,0,0.9970450520598482,0.002917560629253532,4.456071218210769e-06,3.293123968007732e-05
7,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
8,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
9,1,0.0,0.6901359230567636,0.10985418498321238,0.20000989196002394
10,1,0.0,0.8093944203174294,0.1739528913009688,0.01665268838160182
11,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
12,3,0.0,0.1555740293214843,0.07398418595597023,0.7704417847225455
13,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
14,3,0.0,0.38764427252128814,0.08754839541220581,0.5248073320665059
15,1,0.0,0.5829240456605269,0.0621918709395751,0.3548840833998978
16,0,0.9992823545394433,0.00022472457833780718,0.00015131705610649403,0.0003416038261123498
17,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
18,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
19,3,0.0,0.10395998631443923,0.04917697678815932,0.8468630368974014
20,0,0.9992823545394433,0.00022472457833780718,0.00015131705610649403,0.0003416038261123498
21,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
22,1,0.0,0.9999551283580215,4.485999224549213e-05,1.1649732802543396e-08
23,2,0.0,0.11867704441956417,0.8813044778216595,1.847775877631121e-05
24,3,0.0,0.38764427252128814,0.08754839541220581,0.5248073320665059
25,3,0.0,0.07416132232020206,0.027128999191885855,0.898709678487912
26,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
27,3,0.0,0.07416132232020206,0.027128999191885855,0.898709678487912
28,3,0.0,0.142798694588616,0.033722385860989586,0.8234789195503944
29,1,0.0,0.6506082341842176,0.31220821181599095,0.037183553999791376
30,0,0.9991990313715658,0.0003951942212012565,0.00013027261042945502,0.00027550179680332497
31,3,0.0,0.32670167381842513,0.053662907842462054,0.619635418339113
32,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
33,1,0.0,0.8093944203174294,0.1739528913009688,0.01665268838160182
34,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
35,3,0.0,0.142798694588616,0.033722385860989586,0.8234789195503944
36,1,0.0,0.6901359230567636,0.10985418498321238,0.20000989196002394
37,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
38,1,0.0,0.6759853046566194,0.14104703888420222,0.18296765645917853
39,1,0.0,0.9618787830669597,0.017079581697206466,0.021041635235834143
40,1,0.0,0.555942264486605,0.15939699079716022,0.2846607447162349
41,3,0.0,0.1555740293214843,0.07398418595597023,0.7704417847225455
42,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
43,1,0.0,0.7129365280113148,0.04589753328178398,0.24116593870690112
44,3,0.0,0.2871367179146447,0.023675699022882083,0.6891875830624732
45,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
46,2,0.0,0.45499420886801056,0.5447245710619502,0.0002812200700390034
47,1,0.0,0.9644463700252686,0.0355460232676629,7.606707068555934e-06
48,3,0.0,0.142798694588616,0.033722385860989586,0.8234789195503944
49,3,0.0,0.38764427252128814,0.08754839541220581,0.5248073320665059
50,1,0.0,0.711760504231271,0.2877565029394593,0.0004829928292696777
51,1,0.0,0.6131257464070825,0.32573415454333066,0.061140099049586914
52,1,0.0,0.555942264486605,0.15939699079716022,0.2846607447162349
53,1,0.0,0.6901359230567636,0.10985418498321238,0.20000989196002394
54,2,0.0,0.05361620549958492,0.9463837902507081,4.2497070250651335e-09
55,1,0.0,0.6131257464070825,0.32573415454333066,0.061140099049586914
56,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
57,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
58,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
59,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
60,0,0.9990419045582033,0.0006772900164160916,8.497463488407846e-05,0.00019583079049664243
61,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
62,1,0.0,0.6535747938870106,0.3351288724235621,0.011296333689427363
63,0,0.999368933976108,0.00012454552781264265,0.00013317634989049436,0.0003733441461889864
64,3,0.0,0.10395998631443923,0.04917697678815932,0.8468630368974014
65,0,0.9992823545394433,0.00022472457833780718,0.00015131705610649403,0.0003416038261123498
66,3,0.0,0.10395998631443923,0.04917697678815932,0.8468630368974014
67,0,0.9987042494038673,0.0011310880577819675,4.199040226372352e-05,0.0001226721360868917
68,3,0.0,0.142798694588616,0.033722385860989586,0.8234789195503944
69,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
70,3,0.0,0.2871367179146447,0.023675699022882083,0.6891875830624732
71,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
72,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
73,3,0.0,0.07416132232020206,0.027128999191885855,0.898709678487912
74,2,0.0,0.038877028847892646,0.961122683175121,2.8797698635651245e-07
75,3,0.0,0.32670167381842513,0.053662907842462054,0.619635418339113
76,1,0.0,0.711760504231271,0.2877565029394593,0.0004829928292696777
77,1,0.0,0.6759853046566194,0.14104703888420222,0.18296765645917853
78,3,0.0,0.1555740293214843,0.07398418595597023,0.7704417847225455
79,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
80,1,0.0,0.999999856908008,1.4309198798337029e-07,4.508584631287932e-15
81,3,0.0,0.26460568067703094,0.008514739383306066,0.726879579939663
82,3,0.0,0.25953112621460306,0.0025338835207842267,0.7379349902646126
83,1,0.0,0.7129365280113148,0.04589753328178398,0.24116593870690112
84,1,0.0,0.6131257464070825,0.32573415454333066,0.061140099049586914
85,1,0.0,0.711760504231271,0.2877565029394593,0.0004829928292696777
86,3,0.0,0.19624449237532846,0.05782723800406879,0.7459282696206027
87,1,0.0,0.7574507279014654,0.04364372841904272,0.1989055436794918
88,3,0.0,0.10395998631443923,0.04917697678815932,0.8468630368974014
89,3,0.0,0.09183068977857348,0.006544865338345462,0.901624444883081
90,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
91,1,0.0,0.6901359230567636,0.10985418498321238,0.20000989196002394
92,1,0.0,0.7260470346528775,0.014696929900889465,0.259256035446233
93,0,0.9987042494038673,0.0011310880577819675,4.199040226372352e-05,0.0001226721360868917
94,3,0.0,0.19624449237532846,0.05782723800406879,0.7459282696206027
95,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
96,3,0.0,0.25953112621460306,0.0025338835207842267,0.7379349902646126
97,3,0.0,0.25953112621460306,0.0025338835207842267,0.7379349902646126
98,3,0.0,0.25953112621460306,0.0025338835207842267,0.7379349902646126
99,3,0.0,0.4103258580493188,0.08845987829751854,0.5012142636531626
100,3,0.0,0.2815589899923591,0.08048448502196962,0.6379565249856713
101,3,0.0,0.07416132232020206,0.027128999191885855,0.898709678487912
102,3,0.0,0.11038105144758546,0.016241066633846835,0.8733778819185679
103,3,0.0,0.07416132232020206,0.027128999191885855,0.898709678487912
104,3,0.0,0.19624449237532846,0.05782723800406879,0.7459282696206027
105,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
106,3,0.0,0.142798694588616,0.033722385860989586,0.8234789195503944
107,3,0.0,0.25953112621460306,0.0025338835207842267,0.7379349902646126
108,3,0.0,0.1555740293214843,0.07398418595597023,0.7704417847225455
109,3,0.0,0.09183068977857348,0.006544865338345462,0.901624444883081
110,3,0.0,0.11038105144758546,0.016241066633846835,0.8733778819185679
111,3,0.0,0.2871367179146447,0.023675699022882083,0.6891875830624732
112,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
113,0,0.9992823545394433,0.00022472457833780718,0.00015131705610649403,0.0003416038261123498
114,3,0.0,0.11038105144758546,0.016241066633846835,0.8733778819185679
115,1,0.0,0.7129365280113148,0.04589753328178398,0.24116593870690112
116,3,0.0,0.24423339641493363,0.0907778551926036,0.6649887483924628
117,0,0.999484248141678,6.72750990520495e-05,8.881408760737928e-05,0.00035966267166248503
118,3,0.0,0.07416132232020206,0.027128999191885855,0.898709678487912
119,3,0.0,0.4103258580493188,0.08845987829751854,0.5012142636531626
120,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
121,1,0.0,0.7260470346528775,0.014696929900889465,0.259256035446233
122,1,0.0,0.711760504231271,0.2877565029394593,0.0004829928292696777
123,2,0.0,0.1271487715999413,0.8728187377742963,3.2490625762264355e-05
124,0,0.9991990313715658,0.0003951942212012565,0.00013027261042945502,0.00027550179680332497
125,0,0.9990419045582033,0.0006772900164160916,8.497463488407846e-05,0.00019583079049664243
126,0,0.999368933976108,0.00012454552781264265,0.00013317634989049436,0.0003733441461889864
127,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
128,3,0.0,0.19624449237532846,0.05782723800406879,0.7459282696206027
129,3,0.0,0.10395998631443923,0.04917697678815932,0.8468630368974014
130,3,0.0,0.32670167381842513,0.053662907842462054,0.619635418339113
131,1,0.0,0.7771378932986712,0.030450431541967207,0.19241167515936142
132,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
133,3,0.0,0.4103258580493188,0.08845987829751854,0.5012142636531626
134,1,0.0,0.6506082341842176,0.31220821181599095,0.037183553999791376
135,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
136,1,0.0,0.6193412164161126,0.28320413387342774,0.09745464971045957
137,3,0.0,0.142798694588616,0.033722385860989586,0.8234789195503944
138,1,0.0,0.7574507279014654,0.04364372841904272,0.1989055436794918
139,1,0.0,0.9155994854976929,0.06412077487974895,0.02027973962255823
140,3,0.0,0.142798694588616,0.033722385860989586,0.8234789195503944
141,3,0.0,0.2815589899923591,0.08048448502196962,0.6379565249856713
142,3,0.0,0.142798694588616,0.033722385860989586,0.8234789195503944
143,3,0.0,0.32670167381842513,0.053662907842462054,0.619635418339113
144,1,0.0,0.7771378932986712,0.030450431541967207,0.19241167515936142
145,1,0.0,0.555942264486605,0.15939699079716022,0.2846607447162349
146,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
147,3,0.0,0.1555740293214843,0.07398418595597023,0.7704417847225455
148,1,0.0,0.9999978226969704,2.1713495039021803e-06,5.953525771341665e-09
149,0,0.9970450520598482,0.002917560629253532,4.456071218210769e-06,3.293123968007732e-05
150,1,0.0,0.5807358242007901,0.07340702621691364,0.34585714958229624
151,0,0.9990419045582033,0.0006772900164160916,8.497463488407846e-05,0.00019583079049664243
152,1,0.0,0.4582307571548351,0.14035414825551804,0.4014150945896471
153,0,0.9990419045582033,0.0006772900164160916,8.497463488407846e-05,0.00019583079049664243
154,0,0.9991990313715658,0.0003951942212012565,0.00013027261042945502,0.00027550179680332497
155,0,0.9991990313715658,0.0003951942212012565,0.00013027261042945502,0.00027550179680332497
156,3,0.0,0.32670167381842513,0.053662907842462054,0.619635418339113
157,1,0.0,0.7771378932986712,0.030450431541967207,0.19241167515936142
158,1,0.0,0.6901359230567636,0.10985418498321238,0.20000989196002394
159,3,0.0,0.24423339641493363,0.0907778551926036,0.6649887483924628
160,1,0.0,0.6131257464070825,0.32573415454333066,0.061140099049586914
161,3,0.0,0.3831707504643237,0.09747446008327508,0.5193547894524013
162,1,0.0,0.5807358242007901,0.07340702621691364,0.34585714958229624
163,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
164,2,0.0,0.05361620549958492,0.9463837902507081,4.2497070250651335e-09
