construct,profile_1,profile_2,mean_1,mean_2,t_statistic,df,p_value,cohens_d,CI95_lower,CI95_upper
INT,0,1,4.468564650059311,2.8960000000000004,92.66084762351319,404.0,6.9055955760561355e-196,9.750214205453723,1.5391403024963022,1.6059889976223192
INT,0,2,4.468564650059311,4.5925925925925934,-2.5893660018990485,387.0,0.010841796927045472,-0.42515208697201656,-0.21889417062078756,-0.02916171444577728
INT,0,3,4.468564650059311,3.523989898989899,66.94100223953635,543.0,9.877046829136733e-264,5.739058203638525,0.9168564821014967,0.9722930200373278
INT,0,4,4.468564650059311,4.0,47.903301940472396,524.0,6.346868289179894e-137,3.9092992656470864,0.44931009785460435,0.4878192022640177
INT,0,5,4.468564650059311,2.1142857142857143,37.43486376455365,349.0,3.827823545144934e-49,8.597572591917876,2.228923368375947,2.4796345031712463
INT,0,6,4.468564650059311,5.0,-54.33083359324485,352.0,9.476779529744386e-151,-3.634005033702385,-0.5506899021453957,-0.5121807977359822
INT,1,2,2.8960000000000004,4.5925925925925934,-34.69683209328316,231.0,3.0716011491661305e-66,-4.839611411998663,-1.7933617128453727,-1.5998234723398135
INT,1,3,2.8960000000000004,3.523989898989899,-36.51506820702771,387.0,6.270675303777739e-104,-3.8752786293324877,-0.6618564048791653,-0.5941233931006316
INT,1,4,2.8960000000000004,4.0,-79.60304018789499,368.0,2.591424982201054e-108,-12.26556942021635,-1.1314502738032863,-1.076549726196713
INT,1,5,2.8960000000000004,2.1142857142857143,12.280695516235497,193.0,1.0153980473133034e-19,2.3354615097544413,0.654935022373824,0.9084935490547481
INT,1,6,2.8960000000000004,5.0,-151.70724325664048,196.0,1.1433521286855816e-142,-17.05958661655457,-2.1314502738032863,-2.076549726196713
INT,2,3,4.5925925925925934,3.523989898989899,22.271915178418325,370.0,6.253348949531643e-44,3.6006666043241338,0.9735828370782493,1.16362255012714
INT,2,4,4.5925925925925934,4.0,12.638042436155857,351.0,5.92924832671691e-23,2.2025693980787038,0.49963945473288385,0.685545730452303
