K,covariance_type,converged,n_iter,log_likelihood,AIC,BIC,entropy,class_sizes
2,full,True,7,-2927.589537432892,5877.179074865784,5932.8537529017985,0.599786309643466,"[871, 295]"
2,diag,True,4,-3044.6703586481517,6107.340717296303,6152.892726598498,0.3271040042042897,"[825, 341]"
2,spherical,True,4,-3049.717518056836,6113.435036113672,6148.864376682045,0.3272701067312464,"[846, 320]"
3,full,True,13,-2894.5520094838844,5823.104018967769,5909.146703205246,0.5449290825716492,"[355, 170, 641]"
3,diag,True,5,-2950.9176968561146,5929.835393712229,6000.694074848975,0.2918660780008816,"[725, 179, 262]"
3,spherical,True,5,-2950.2107095755773,5922.421419151155,5978.096097187169,0.28918033598514115,"[177, 731, 258]"
4,full,True,32,-2313.074008068691,4672.148016137382,4788.558706576322,0.4396491267029076,"[280, 108, 595, 183]"
4,diag,True,20,-2300.0188442495455,4638.037688499091,4734.2030414703895,0.24060963157496143,"[214, 177, 651, 124]"
4,spherical,True,49,-2363.0444392842387,4756.088878568477,4832.008894072134,0.17138291336876105,"[41, 51, 777, 297]"
5,full,True,24,-2222.2192012411006,4502.438402482201,4649.217099122604,0.3389444651313579,"[467, 136, 124, 316, 123]"
5,diag,True,17,-2258.9234608700326,4565.846921740065,4687.318946545915,0.2107947920081137,"[535, 52, 124, 307, 148]"
5,spherical,True,36,-2342.4144063100816,4722.828812620163,4818.994165591462,0.28980819891076365,"[250, 619, 56, 190, 51]"
6,full,True,44,-1609.4466292062443,3288.8932584124886,3466.039961254354,0.20784313640980948,"[259, 52, 88, 399, 41, 327]"
6,diag,True,18,-2231.96565085795,4521.9313017159,4668.709998356303,0.22661256760139326,"[386, 209, 78, 216, 124, 153]"
6,spherical,True,33,-1458.4590997780103,2962.9181995560207,3079.3288899949607,0.243495618172506,"[493, 89, 73, 181, 51, 279]"
7,full,True,67,-682.7638321323632,1447.5276642647264,1655.0423733080543,0.17495620564170175,"[108, 154, 86, 256, 226, 107, 229]"
7,diag,True,41,-906.3378726557058,1880.6757453114117,2052.7611137863664,0.0753324282193348,"[316, 259, 133, 259, 43, 32, 124]"
7,spherical,True,51,-1425.3355491643767,2904.6710983287535,3041.3271262353355,0.17691589767331697,"[51, 610, 148, 116, 40, 89, 112]"
