respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3,post_profile_4,post_profile_5,post_profile_6
0,4,8.554546511647665e-05,7.086063774423195e-06,0.0,6.627626221502449e-05,0.9998372206426205,3.871566273640906e-06,0.0
1,6,8.03256906960958e-05,1.0708990045355158e-17,0.0,4.3656922615751195e-20,0.0,2.9305929003410136e-10,0.9999196740162446
2,4,7.687693243521725e-05,5.007087716623033e-06,0.0,7.34790862538437e-05,0.9998422206610154,2.416232578960105e-06,0.0
3,4,8.08767611298097e-05,1.0128802290381307e-06,0.0,0.0002476461665388931,0.9996681166380463,2.3475540558962833e-06,0.0
4,1,4.998291876417568e-17,0.5899529839996792,0.0,0.01602138975875547,0.0,0.3940256262415652,0.0
5,3,2.152724697023599e-11,0.4412330319916169,0.0,0.540798652428411,0.0,0.017968315558444813,0.0
6,6,0.00010564742175550887,4.179789445630025e-16,0.0,3.231701881225863e-20,0.0,6.386910535530794e-10,0.999894351939553
7,4,8.554546511647665e-05,7.086063774423195e-06,0.0,6.627626221502449e-05,0.9998372206426205,3.871566273640906e-06,0.0
8,4,8.554546511647665e-05,7.086063774423195e-06,0.0,6.627626221502449e-05,0.9998372206426205,3.871566273640906e-06,0.0
9,3,1.236967647485555e-05,0.05607276650801913,0.0,0.9355318701974386,0.0,0.008382993618067679,0.0
10,3,8.59013677358494e-11,0.35931067867833866,0.0,0.6117843493999806,0.0,0.028904971835779447,0.0
11,3,7.802747663615412e-06,0.04587029563661648,0.0,0.9503743091455186,0.0,0.0037475924702014443,0.0
12,0,0.9999460358003717,1.5977200199779238e-07,0.0,2.7472233509735677e-11,0.0,5.380440015414061e-05,0.0
13,4,7.687693243521725e-05,5.007087716623033e-06,0.0,7.34790862538437e-05,0.9998422206610154,2.416232578960105e-06,0.0
14,0,0.9999895060089817,2.404713496177979e-08,0.0,3.6155790639844315e-11,0.0,1.0469907727426812e-05,0.0
15,0,0.9999943118642458,8.415510088269047e-09,0.0,4.354461643421086e-11,0.0,5.679676699513939e-06,0.0
16,6,6.046525373222814e-05,3.4485893109453896e-13,0.0,7.752398479485433e-21,0.0,1.4428800047533201e-08,0.999939520317123
17,4,8.554546511647665e-05,7.086063774423195e-06,0.0,6.627626221502449e-05,0.9998372206426205,3.871566273640906e-06,0.0
18,2,1.39016471494221e-05,8.992335049750125e-13,0.5274361772357831,1.5794612925374473e-21,0.0,3.7887296391648886e-08,0.4725498832288717
19,0,0.9998496432947711,3.714753861113283e-07,0.0,2.513863008288035e-11,0.0,0.0001499852047041941,0.0
20,6,6.046525373222814e-05,3.4485893109453896e-13,0.0,7.752398479485433e-21,0.0,1.4428800047533201e-08,0.999939520317123
21,4,8.554546511647665e-05,7.086063774423195e-06,0.0,6.627626221502449e-05,0.9998372206426205,3.871566273640906e-06,0.0
22,5,6.322182939382998e-36,0.00025299122603837605,0.0,2.298624429149062e-12,0.0,0.9997470087716629,0.0
23,1,3.7057343889457184e-19,0.9435940817491019,0.0,0.0013141821962760864,0.0,0.05509173605462218,0.0
24,0,0.9999895060089817,2.404713496177979e-08,0.0,3.6155790639844315e-11,0.0,1.0469907727426812e-05,0.0
25,2,0.001259049821585491,1.015480477416107e-09,0.9987403447790473,2.992407080459989e-14,0.0,6.043838566177605e-07,0.0
26,4,8.554546511647665e-05,7.086063774423195e-06,0.0,6.627626221502449e-05,0.9998372206426205,3.871566273640906e-06,0.0
27,2,0.001259049821585491,1.015480477416107e-09,0.9987403447790473,2.992407080459989e-14,0.0,6.043838566177605e-07,0.0
28,0,0.9995005408779141,4.270112595752027e-05,0.0,4.491460588204301e-06,0.0,0.0004522665355403516,0.0
29,3,4.3535128011777855e-06,0.02521520304314365,0.0,0.9722080137650291,0.0,0.002572429679026221,0.0
30,6,7.79250281349768e-05,1.1904752756677657e-13,0.0,1.1142250779191337e-20,0.0,6.766675922766944e-09,0.9999220682050702
31,4,9.985351971380354e-05,9.820925950812208e-06,0.0,6.477375124267313e-05,0.9998180824356885,7.469367404315191e-06,0.0
32,4,8.554546511647665e-05,7.086063774423195e-06,0.0,6.627626221502449e-05,0.9998372206426205,3.871566273640906e-06,0.0
33,3,8.59013677358494e-11,0.35931067867833866,0.0,0.6117843493999806,0.0,0.028904971835779447,0.0
34,4,8.554546511647665e-05,7.086063774423195e-06,0.0,6.627626221502449e-05,0.9998372206426205,3.871566273640906e-06,0.0
35,0,0.9995005408779141,4.270112595752027e-05,0.0,4.491460588204301e-06,0.0,0.0004522665355403516,0.0
36,3,1.236967647485555e-05,0.05607276650801913,0.0,0.9355318701974386,0.0,0.008382993618067679,0.0
37,4,8.554546511647665e-05,7.086063774423195e-06,0.0,6.627626221502449e-05,0.9998372206426205,3.871566273640906e-06,0.0
38,4,7.166222967442272e-05,2.348161151450045e-06,0.0,0.00011489877905115728,0.999809448009515,1.6428206078289406e-06,0.0
39,4,9.230018839392754e-05,6.446566040572498e-07,0.0,0.000410037747785642,0.9994933100363383,3.70737087796399e-06,0.0
40,4,7.247044501767888e-05,3.4649203416619787e-06,0.0,8.827071750720538e-05,0.9998339782328897,1.8156842436555283e-06,0.0
