construct,k_items,items,N,mean,SD,min,max,Cronbach_alpha
ATT,3,"ATT1,ATT2,ATT3",1166,3.6272155517438542,0.7819901270113023,1.0,5.0,0.7021115826048248
CON,3,"CON1,CON2,CON3",1166,3.8616352201257858,0.7777971866002878,1.0,5.0,0.7621009220059145
SNO,3,"SNO1,SNO2,SNO3",1166,3.9425385934819897,0.837278260348512,1.0,5.0,0.8055239192911413
COVID,3,"COVID1,COVID2,COVID3",1166,3.955403087478559,0.7702831072571306,1.0,5.0,0.7728876142223233
INT,3,"INT1,INT2,INT3",1166,3.891080617495712,0.764901566146851,1.0,5.0,0.7823103097751618
BE,4,"BE1,BE2,BE3,BE4",1166,3.7885934819897082,0.7540382233856436,1.0,5.0,0.7479826851933673
PU,3,"PU1,PU2,PU3",1166,3.840480274442539,0.7495644247427593,1.0,5.0,0.7274298923373648
PEU,2,"PEU1,PEU2",1166,3.599056603773585,0.8921733901919812,1.0,5.0,0.6726744168570922
PO,2,"PO1,PO2",1166,3.7658662092624358,0.8980577397768397,1.0,5.0,0.8112650061338942
PRI,3,"PRI1,PRI2,PRI3",1166,3.962835906232132,0.714153259969382,1.0,5.0,0.9185938460275161
