category,check,expected,observed,status
data,N_rows,1166,1166,PASS
data,N_columns,34,34,PASS
data,total_missing,0,0,PASS
data,duplicate_rows,42,42,PASS
data,item_min_ge_1,True,True,PASS
data,item_max_le_5,True,True,PASS
measurement,scores_N,1166,1166,PASS
measurement,scores_ncols,10,10,PASS
measurement,ATT_score_max_diff,0.0,4.440892098500626e-16,PASS
measurement,INT_score_max_diff,0.0,4.440892098500626e-16,PASS
measurement,BE_score_max_diff,0.0,0.0,PASS
measurement,cronbach_alpha_range,0<alpha<=1,True,PASS
measurement,INT_BE_r_range,-1<=r<=1,True,PASS
measurement,INT_BE_p_positive,>0,True,PASS
gap,gap_N,1166,1166,PASS
gap,gap_mean_near_0,~0,1.0,PASS
gap,z_INT_SD~1,1.0,0.9999999999999999,PASS
gap,z_BE_SD~1,1.0,1.0,PASS
gap,gap_formula,0.0,4.440892098500626e-16,PASS
lpa,BIC_minimized,True,True,PASS
lpa,BIC_formula_K2,5932.8537529017985,5932.853752901799,PASS
lpa,BIC_formula_K3,5906.631363033211,5906.631363033211,PASS
lpa,BIC_formula_K4,4657.054958638112,4657.054958638112,PASS
lpa,BIC_formula_K5,4633.418407189735,4633.418407189735,PASS
lpa,BIC_formula_K6,2129.1734426912567,2129.1734426912567,PASS
lpa,BIC_formula_K7,1616.0232002565717,1616.0232002565715,PASS
lpa,AIC_formula_K2,5877.179074865784,5877.179074865784,PASS
lpa,AIC_formula_K3,5820.588678795733,5820.588678795733,PASS
lpa,AIC_formula_K4,4540.644268199172,4540.644268199172,PASS
lpa,AIC_formula_K5,4486.639710549332,4486.639710549332,PASS
lpa,AIC_formula_K6,1952.0267398493916,1952.026739849392,PASS
lpa,AIC_formula_K7,1408.5084912132438,1408.5084912132438,PASS
lpa,posterior_sum_K2,1.0,1.0,PASS
lpa,posterior_sum_K3,1.0,1.0,PASS
lpa,posterior_sum_K4,1.0,1.0,PASS
lpa,posterior_sum_K5,1.0,1.0,PASS
lpa,posterior_sum_K6,1.0,1.0,PASS
lpa,profile_total_N_K2,1166,1166,PASS
lpa,profile_total_N_K3,1166,1166,PASS
lpa,profile_total_N_K4,1166,1166,PASS
lpa,profile_total_N_K5,1166,1166,PASS
lpa,profile_total_N_K6,1166,1166,PASS
predictors,OR_exp_beta,0.0,4.440892098500626e-16,PASS
predictors,CI_lower,0.0,4.440892098500626e-16,PASS
predictors,CI_upper,0.0,1.7763568394002505e-15,PASS
predictors,FDR_ge_raw,True,True,PASS
robustness,random_start_converged,True,True,PASS
ordering,gap_N,1166,1166,PASS
ordering,scores_N,1166,1166,PASS
