baseline_profile,target_profile,predictor,OR_95CI_lower,OR_95CI_upper
0,0,const,59586676923.874886,171870771156881.6
0,0,ATT,0.3093882716860961,0.8240291721797289
0,0,CON,0.5173743017075597,1.5171698934535627
0,0,SNO,0.111130312160293,0.34072758913921114
0,0,COVID,0.3483670493447599,1.0690565266922163
0,0,PU,0.11538179529543711,0.378084647083135
0,0,PEU,0.3561137746482513,0.7986858405942868
0,0,PO,0.5692568066695197,1.371866871450569
0,0,PRI,0.0650539692035246,0.19878011980841456
0,0,age,0.9400068687930949,1.0313199708134193
0,0,gender,0.37100853151299656,1.165199745455193
0,0,Education,0.48986953162449176,1.0616282679634363
0,0,Occupation,0.7687016942621454,1.0552977674749036
0,0,income,0.7309124122784119,1.3810614921912385
0,1,const,2.1406256204599488e-12,3.349776358227413e-08
0,1,ATT,0.6278787154348402,1.7352299084598073
0,1,CON,0.5619183410223141,1.7311885209283093
0,1,SNO,1.0870149167381042,4.172766242959909
0,1,COVID,0.5132469417567703,1.6935773828793381
0,1,PU,3.1611865558434817,11.487696264348191
0,1,PEU,0.7716147751352181,1.6337136559518852
0,1,PO,0.7174968236482109,1.691072420558546
0,1,PRI,3.8730011350604427,14.24925542582962
0,1,age,0.9782769039318121,1.05015079971414
0,1,gender,0.43184500370041984,1.2937163204867757
0,1,Education,0.6245899272779116,1.3376024410271112
0,1,Occupation,0.889416717123327,1.1965828261542144
0,1,income,0.7146003091114885,1.3496077705250422
0,2,const,2049689.4216682508,837714037.6410898
0,2,ATT,0.45274753473041235,0.9194233046005401
0,2,CON,0.8736223993754275,1.8743788951524014
0,2,SNO,0.2168562025528344,0.48710870924912825
0,2,COVID,0.5106211887269657,1.1306326746465665
0,2,PU,0.24718318329809771,0.5614194630632632
0,2,PEU,0.442027029306654,0.7641606163476322
0,2,PO,0.8493776901463455,1.5496257801790145
0,2,PRI,0.1689922569177931,0.38290189949419895
0,2,age,0.969853831630529,1.0304264130386092
0,2,gender,0.6632497273536646,1.451400265271469
0,2,Education,0.6407632971487204,1.1391776914858809
0,2,Occupation,0.8446802108891579,1.0584361615078894
0,2,income,0.8443536401859892,1.305903776555359
0,3,const,121.1134197042978,24309.8815731315
0,3,ATT,0.5322362369357736,1.035326245088715
0,3,CON,0.8170115019049137,1.6765763794083777
0,3,SNO,0.35862611399250127,0.7673989791909409
0,3,COVID,0.5712034127292607,1.2199852916242284
0,3,PU,0.5395558625098734,1.1424899787449272
0,3,PEU,0.6601306731413394,1.097732120180585
0,3,PO,0.7647134323704129,1.3345334316595991
0,3,PRI,0.3162876245421449,0.6685429461629723
0,3,age,0.9992779545367865,1.052821423072308
0,3,gender,0.5321887641111804,1.1041254303409362
0,3,Education,0.7587178691799309,1.3136533249602382
0,3,Occupation,0.8572313163998059,1.0555356460186938
0,3,income,1.0156992762366932,1.5462105970652293
0,4,const,338775754636.29193,4676700899135674.0
0,4,ATT,0.21514828679942186,0.7834255146745951
0,4,CON,0.3791746230589994,1.666352702805657
0,4,SNO,0.040034739463018276,0.18240344643660691
0,4,COVID,0.3648718531979235,1.6143081440405993
0,4,PU,0.032725293171292455,0.1692841514971626
0,4,PEU,0.22755568937336315,0.6990536203001716
0,4,PO,0.9331006720668378,3.119068888197847
0,4,PRI,0.06003074407548749,0.26024665598814073
0,4,age,0.8664444224888663,1.0163909162741631
0,4,gender,0.42496993913596987,2.0451452938465655
0,4,Education,0.6402171110216043,1.955807910151977
0,4,Occupation,0.7973083765070955,1.235046293168318
0,4,income,0.72441598427373,1.820536450464916
0,5,const,2.9003766656403757e-07,0.0016596921986385853
0,5,ATT,0.46974223879142657,1.3098596990568716
0,5,CON,0.9294382262458499,3.0308656994887806
0,5,SNO,1.1837854443287876,4.638398847172044
0,5,COVID,0.8160577616923941,2.8633311480198205
0,5,PU,1.1514955739195976,3.704068593231252
0,5,PEU,0.4215894128244855,0.8573716152533923
0,5,PO,0.5078814996463233,1.1403891050534525
0,5,PRI,0.8485887347589267,2.6823333686120647
0,5,age,0.9689764477525432,1.043037538668764
0,5,gender,0.37323844378114673,1.170846458641445
0,5,Education,0.609351214746468,1.311018768294606
0,5,Occupation,1.0395374970279985,1.3961119608955415
0,5,income,0.8224606854872861,1.6122059368215924
