baseline_profile,target_profile,predictor,OR
0,0,const,3200188762179.8657
0,0,ATT,0.5049207476422521
0,0,CON,0.8859710572006682
0,0,SNO,0.19458973082530484
0,0,COVID,0.6102655715231895
0,0,PU,0.2088637961784997
0,0,PEU,0.5333132564001601
0,0,PO,0.883710673477273
0,0,PRI,0.1137164710685727
0,0,age,0.9846054318802574
0,0,gender,0.657494522015696
0,0,Education,0.7211514004607971
0,0,Occupation,0.9006715171520736
0,0,income,1.0047064181950474
0,1,const,2.6778007945387993e-10
0,1,ATT,1.0437978376619963
0,1,CON,0.986299438140826
0,1,SNO,2.129755655036192
0,1,COVID,0.9323215177133128
0,1,PU,6.026172167178008
0,1,PEU,1.1227633745685903
0,1,PO,1.1015167226646394
0,1,PRI,7.428821066495295
0,1,age,1.0135769694531667
0,1,gender,0.7474522922621251
0,1,Education,0.9140311873059259
0,1,Occupation,1.0316301512675141
0,1,income,0.9820540361896906
0,2,const,41437345.49094501
0,2,ATT,0.6451872863995256
0,2,CON,1.2796481499700234
0,2,SNO,0.3250116073591506
0,2,COVID,0.7598190576325251
0,2,PU,0.37252308659395356
0,2,PEU,0.5811881340472168
0,2,PO,1.147265255187169
0,2,PRI,0.25437660303894827
0,2,age,0.9996814517128929
0,2,gender,0.9811426146194743
0,2,Education,0.8543671655879344
0,2,Occupation,0.9455369268913799
0,2,income,1.050068858440792
0,3,const,1715.8825396653615
0,3,ATT,0.7423194357464058
0,3,CON,1.170376941757971
0,3,SNO,0.5246039589910273
0,3,COVID,0.8347812659944289
0,3,PU,0.7851351258800017
0,3,PEU,0.8512617948807988
0,3,PO,1.0102156409091467
0,3,PRI,0.4598389504449287
0,3,age,1.0257003646973148
0,3,gender,0.7665527693491612
0,3,Education,0.9983447558609017
0,3,Occupation,0.9512298414912793
0,3,income,1.2531899234947026
0,4,const,39803930412873.96
0,4,ATT,0.4105516499993569
0,4,CON,0.7948827951149025
0,4,SNO,0.08545451688030403
0,4,COVID,0.7674735201611804
0,4,PU,0.07443032639319898
0,4,PEU,0.39884035462369
0,4,PO,1.705990995228338
0,4,PRI,0.12499120129883347
0,4,age,0.9384275360804888
0,4,gender,0.9322688834505795
0,4,Education,1.1189913717052067
0,4,Occupation,0.9923269395300814
0,4,income,1.148401369151807
0,5,const,2.1940219974003744e-05
0,5,ATT,0.7844083295947584
0,5,CON,1.6783928144871925
0,5,SNO,2.343260344108971
0,5,COVID,1.5286083892341975
0,5,PU,2.0652405648254097
0,5,PEU,0.6012144341639332
0,5,PO,0.7610404252435452
0,5,PRI,1.5087073538205351
0,5,age,1.0053252255324219
0,5,gender,0.6610634690632964
0,5,Education,0.8937957703053514
0,5,Occupation,1.204703587360892
0,5,income,1.1515103125656145
