baseline_profile,target_profile,predictor,p_value
0,0,const,1.455982580513961e-45
0,0,ATT,0.006247386639037661
0,0,CON,0.6591087603615178
0,0,SNO,1.0217731897748424e-08
0,0,COVID,0.08424887074512205
0,0,PU,2.310731826360014e-07
0,0,PEU,0.002281297595431378
0,0,PO,0.58166894173283
0,0,PRI,2.352577282998829e-14
0,0,age,0.5118251795764686
0,0,gender,0.1509181162213459
0,0,Education,0.09754163224320757
0,0,Occupation,0.1956077814277023
0,0,income,0.9769237844743444
0,1,const,3.691266150830918e-19
0,1,ATT,0.8687089159092679
0,1,CON,0.9616683852357453
0,1,SNO,0.027584452050173826
0,1,COVID,0.8180133416270675
0,1,PU,4.854455878908146e-08
0,1,PEU,0.5451060431052063
0,1,PO,0.6584312364914541
0,1,PRI,1.5941980553962405e-09
0,1,age,0.45588019213669984
0,1,gender,0.2983582679751311
0,1,Education,0.6435727165662517
0,1,Occupation,0.6807198099327031
0,1,income,0.9111073225003226
0,2,const,2.8110867382768506e-30
0,2,ATT,0.015314201375431019
0,2,CON,0.20543374594932307
0,2,SNO,5.206342892399733e-08
0,2,COVID,0.17556588804667106
0,2,PU,2.3750358317284964e-06
0,2,PEU,0.00010184427958527921
0,2,PO,0.3704299619966943
0,2,PRI,5.3522436515835256e-11
0,2,age,0.9835528069850423
0,2,gender,0.9240823333660773
0,2,Education,0.28359932787168407
0,2,Occupation,0.33048631392732386
0,2,income,0.6605357079879846
0,3,const,3.660594391965427e-08
0,3,ATT,0.07917842261762292
0,3,CON,0.39093932019292665
0,3,SNO,0.0008865970395010643
0,3,COVID,0.3508951540011186
0,3,PU,0.20624487822270543
0,3,PEU,0.21451008333728083
0,3,PO,0.9429592531380108
0,3,PRI,4.7234835273031746e-05
0,3,age,0.056682178827745636
0,3,gender,0.1533039689407669
0,3,Education,0.9905612395197668
0,3,Occupation,0.3462615368012585
0,3,income,0.03526443871118363
0,4,const,6.053776292890741e-38
0,4,ATT,0.006926646629250715
0,4,CON,0.5432784239572155
0,4,SNO,2.0390292555982402e-10
0,4,COVID,0.4854184227820607
0,4,PU,5.768360594990586e-10
0,4,PEU,0.0013250740671253269
0,4,PO,0.08272680333954979
0,4,PRI,2.7356375121622226e-08
0,4,age,0.1185902477685599
0,4,gender,0.861097485607393
0,4,Education,0.6931073135756807
0,4,Occupation,0.9449924294293892
0,4,income,0.5561247598692096
0,5,const,1.1730217091987088e-06
0,5,ATT,0.35329610141526646
0,5,CON,0.0859195367272153
0,5,SNO,0.01451374672257246
0,5,COVID,0.18510021641774987
0,5,PU,0.01496289521297726
0,5,PEU,0.004957165312060604
0,5,PO,0.18571786694536585
0,5,PRI,0.1612798197493971
0,5,age,0.7774272274891064
0,5,gender,0.15584379709599677
0,5,Education,0.5656578675435151
0,5,Occupation,0.01330842706136917
0,5,income,0.4112815884054549
