construct,items,N,mean_score_mean,mean_score_SD,factor_score_mean,factor_score_SD,pearson_r
ATT,"ATT1,ATT2,ATT3",1166,3.6272155517438534,0.7819901270113023,-1.340646671245472e-16,0.9236929499506294,0.9197354038321205
CON,"CON1,CON2,CON3",1166,3.8616352201257858,0.7777971866002878,1.0359542459624103e-16,0.8766259524583878,0.9972306166098313
SNO,"SNO1,SNO2,SNO3",1166,3.9425385934819897,0.8372782603485122,1.7062775815851462e-16,0.9124760380781591,0.9871468387356747
COVID,"COVID1,COVID2,COVID3",1166,3.955403087478559,0.7702831072571307,4.875078804528989e-17,0.8956148594302338,0.9843644381463266
INT,"INT1,INT2,INT3",1166,3.891080617495712,0.7649015661468511,1.9195622792832895e-16,0.892165891845443,0.9930074878333567
BE,"BE1,BE2,BE3,BE4",1166,3.7885934819897082,0.7540382233856436,-5.484463655095113e-17,0.8769395107097544,0.988851031109963
PU,"PU1,PU2,PU3",1166,3.840480274442539,0.7495644247427593,1.2187697011322474e-16,0.8762793837456431,0.9786472893210835
PEU,"PEU1,PEU2",1166,3.599056603773585,0.8921733901919812,-4.875078804528989e-17,0.8207416757479034,0.9999505709024155
PO,"PO1,PO2",1166,3.7658662092624358,0.8980577397768397,-8.340955142123818e-17,0.9009358796570222,0.9999887897623452
PRI,"PRI1,PRI2,PRI3",1166,3.962835906232132,0.714153259969382,1.5844006114719215e-16,0.9621967106240886,0.9967316001787286
