K,profile,N,percentage,mean_INT,mean_BE,INT_minus_BE,mean_GAP
2,0,871,74.69982847341338,4.2353616532721015,4.053386911595867,0.1819747416762345,0.0989313667959432
2,1,295,25.300171526586624,2.87457627118644,3.006779661016949,-0.13220338983050883,-0.2920990524720908
3,0,758,65.00857632933105,4.334212840809147,4.054089709762533,0.2801231310466141,0.2272331883383447
3,1,320,27.4442538593482,3.0489583333333337,3.028125,0.02083333333333348,-0.0924273429908402
3,2,88,7.547169811320755,3.136363636363636,4.267045454545454,-1.1306818181818183,-1.621204625038598
4,0,124,10.634648370497429,5.0,4.465725806451613,0.534274193548387,0.5517464056577341
4,1,487,41.76672384219554,3.721423682409308,3.6175564681724848,0.1038672142368231,0.0050257309819337
4,2,169,14.493996569468267,2.674556213017752,2.6050295857988166,0.06952662721893521,-0.020798804456116
4,3,386,33.104631217838765,4.281519861830743,4.305051813471502,-0.023531951640759274,-0.1744795008722219
5,0,598,51.28644939965695,4.142140468227424,3.986204013377927,0.15593645484949725,0.0661553972108195
5,1,211,18.09605488850772,3.4091627172195893,3.454976303317536,-0.0458135860979465,-0.1875984352464368
5,2,124,10.634648370497429,5.0,4.465725806451613,0.534274193548387,0.5517464056577341
5,3,177,15.180102915951974,2.7269303201506587,2.6610169491525424,0.06591337099811634,-0.0265771424547249
5,4,56,4.802744425385934,4.25,5.0,-0.75,-1.137322460395458
6,0,124,10.634648370497429,5.0,4.465725806451613,0.534274193548387,0.5517464056577341
6,1,377,32.3327615780446,3.336870026525199,3.559681697612732,-0.22281167108753275,-0.4209703769109986
6,2,262,22.46998284734134,4.478371501272264,3.95706106870229,0.5213104325699738,0.5443788092064674
6,3,90,7.718696397941681,2.333333333333333,2.344444444444445,-0.01111111111111196,-0.1213130683759611
6,4,54,4.631217838765009,4.438271604938272,4.912037037037037,-0.473765432098765,-0.7745282754088724
6,5,259,22.21269296740995,4.0,3.8947876447876446,0.10521235521235539,0.0015626749332358
7,0,281,24.09948542024014,4.468564650059311,4.01067615658363,0.4578884934756813,0.4604538070924006
7,1,125,10.720411663807887,2.8960000000000004,2.978,-0.08199999999999985,-0.2259231974763873
7,2,108,9.262435677530018,4.5925925925925934,5.0,-0.40740740740740655,-0.6894313751171465
7,3,264,22.641509433962263,3.523989898989899,3.596590909090909,-0.07260101010101039,-0.2252864865817078
7,4,245,21.012006861063465,4.0,3.8316326530612246,0.16836734693877542,0.0853183649867892
7,5,70,6.003430531732419,2.1142857142857143,2.732142857142857,-0.6178571428571429,-0.9218494846940712
7,6,73,6.260720411663807,5.0,4.092465753424658,0.9075342465753424,1.0467611694332517
