predictor,comparison,coefficient,SE,OR,CI_lower,CI_upper,raw_p,FDR_p,FDR_significant
const,Profile_0,28.794230912175703,2.0324148304555343,3200188762179.8657,59586676923.874886,171870771156881.6,1.455982580513961e-45,1.2230253676317273e-43,True
ATT,Profile_0,-0.6833537973842967,0.2499002300080072,0.5049207476422521,0.3093882716860961,0.8240291721797289,0.0062473866390376,0.0218658532366318,True
CON,Profile_0,-0.1210709957270297,0.2744477973829106,0.8859710572006682,0.5173743017075597,1.517169893453563,0.6591087603615178,0.7926428495855814,False
SNO,Profile_0,-1.6368618813045406,0.2858111742443232,0.1945897308253048,0.111130312160293,0.3407275891392111,1.0217731897748424e-08,8.582894794108677e-08,True
COVID,Profile_0,-0.4938610534050505,0.2860395725270732,0.6102655715231895,0.3483670493447599,1.0690565266922163,0.084248870745122,0.200478919030169,False
PU,Profile_0,-1.5660729323873035,0.3027733459375651,0.2088637961784997,0.1153817952954371,0.378084647083135,2.310731826360014e-07,1.2940098227616078e-06,True
PEU,Profile_0,-0.6286463043806364,0.2060503587242097,0.5333132564001601,0.3561137746482513,0.7986858405942868,0.0022812975954313,0.0087104090007379,True
PO,Profile_0,-0.1236255623628796,0.2243867624939732,0.883710673477273,0.5692568066695197,1.371866871450569,0.58166894173283,0.7403059258417836,False
PRI,Profile_0,-2.17404702443802,0.2849444049562333,0.1137164710685727,0.0650539692035246,0.1987801198084145,2.352577282998829e-14,3.952329835438033e-13,True
age,Profile_0,-0.0155142948336674,0.0236498988185821,0.9846054318802574,0.9400068687930948,1.0313199708134193,0.5118251795764686,0.7048084440069403,False
gender,Profile_0,-0.419318846499988,0.2919445786465374,0.657494522015696,0.3710085315129965,1.165199745455193,0.1509181162213459,0.3192897306357007,False
Education,Profile_0,-0.3269061769718409,0.1973010246686093,0.7211514004607971,0.4898695316244917,1.0616282679634363,0.0975416322432075,0.2214458677953901,False
Occupation,Profile_0,-0.1046146637055881,0.0808355279909694,0.9006715171520736,0.7687016942621454,1.0552977674749036,0.1956077814277023,0.3571968182592824,False
income,Profile_0,0.0046953776363724,0.1623250117817278,1.0047064181950474,0.7309124122784119,1.3810614921912383,0.9769237844743444,0.9905612395197668,False
const,Profile_1,-22.040855071346087,2.463810159318442,2.6778007945387993e-10,2.1406256204599488e-12,3.349776358227413e-08,3.6912661508309183e-19,7.751658916744928e-18,True
ATT,Profile_1,0.0428658286231869,0.2593235143251356,1.0437978376619963,0.6278787154348402,1.7352299084598073,0.8687089159092679,0.960151959689191,False
CON,Profile_1,-0.0137952806859162,0.2870425814447623,0.986299438140826,0.5619183410223141,1.731188520928309,0.9616683852357452,0.9905612395197668,False
SNO,Profile_1,0.7560072571955065,0.3431489419900254,2.129755655036192,1.0870149167381042,4.172766242959909,0.0275844520501738,0.0772364657404867,False
COVID,Profile_1,-0.0700775476998692,0.3045513438698781,0.9323215177133128,0.5132469417567703,1.693577382879338,0.8180133416270675,0.9285556850901848,False
PU,Profile_1,1.796112011023175,0.329165592626752,6.026172167178008,3.1611865558434817,11.487696264348193,4.854455878908146e-08,3.12380573543984e-07,True
PEU,Profile_1,0.115792945244833,0.1913585687147631,1.1227633745685903,0.7716147751352181,1.6337136559518852,0.5451060431052063,0.7268080574736084,False
PO,Profile_1,0.0966880688650735,0.2187116465277388,1.1015167226646394,0.7174968236482109,1.691072420558546,0.6584312364914541,0.7926428495855814,False
PRI,Profile_1,2.005367174066611,0.3323150410530373,7.428821066495295,3.8730011350604423,14.24925542582962,1.5941980553962403e-09,1.4879181850364912e-08,True
age,Profile_1,0.0134856282326828,0.0180857879591487,1.0135769694531669,0.978276903931812,1.05015079971414,0.4558801921366998,0.6490497650759794,False
gender,Profile_1,-0.291084798814776,0.2798998694048354,0.7474522922621251,0.4318450037004198,1.2937163204867757,0.2983582679751311,0.4914136178413924,False
