construct,k_items,items,Cronbach_alpha,mean,SD
ATT,3,"ATT1,ATT2,ATT3",0.7021115826048248,3.6272155517438542,0.7819901270113023
CON,3,"CON1,CON2,CON3",0.7621009220059145,3.8616352201257858,0.7777971866002878
SNO,3,"SNO1,SNO2,SNO3",0.8055239192911413,3.9425385934819897,0.837278260348512
COVID,3,"COVID1,COVID2,COVID3",0.7728876142223233,3.955403087478559,0.7702831072571306
INT,3,"INT1,INT2,INT3",0.7823103097751618,3.891080617495712,0.764901566146851
BE,4,"BE1,BE2,BE3,BE4",0.7479826851933673,3.788593481989708,0.7540382233856436
PU,3,"PU1,PU2,PU3",0.7274298923373648,3.840480274442539,0.7495644247427593
PEU,2,"PEU1,PEU2",0.6726744168570922,3.599056603773585,0.8921733901919812
PO,2,"PO1,PO2",0.8112650061338942,3.765866209262436,0.8980577397768397
PRI,3,"PRI1,PRI2,PRI3",0.918593846027516,3.962835906232132,0.714153259969382
