bootstrap,converged,n_iter,log_likelihood,BIC,matching_cost,matched_size_p0,mean_zINT_p0,mean_zBE_p0,matched_size_p1,mean_zINT_p1,mean_zBE_p1,matched_size_p2,mean_zINT_p2,mean_zBE_p2,matched_size_p3,mean_zINT_p3,mean_zBE_p3,matched_size_p4,mean_zINT_p4,mean_zBE_p4,matched_size_p5,mean_zINT_p5,mean_zBE_p5,matched_size_p6,mean_zINT_p6,mean_zBE_p6
0,True,61,-39.181778954354414,367.8782669520368,1.7768900826884473,246,0.7557378858231315,0.2185072840383446,257,-1.1155770193331298,-0.5374533524121528,69,0.6978344614671381,1.31854993783814,155,-0.30377851599514577,-0.2013315358412916,270,0.130297157595957,0.13875971761178144,43,-2.042427962836119,-1.8098903501299033,126,1.4325241783692668,0.8466272022783142
1,True,30,-273.74222729169156,836.9991636267112,4.409979125616259,225,0.1603347232837902,0.12644186719551168,212,-0.914643024883257,-0.5660725035114452,122,0.9534180114168508,1.5772299014516615,14,-1.7682676114472184,0.1611990703169719,155,-0.2704263074740445,-0.1140020810265323,93,-1.915171211855523,-1.7663932907695765,345,0.896943463355099,0.2848303468717742
2,True,44,793.488974000843,-1297.463238958358,4.001970507447392,215,0.5677904904783447,0.34737306305115684,149,-1.5029776448748404,-1.3018898199554412,125,0.9940903693564827,0.5292878159035744,272,-0.5936566621656648,-0.32633990133401114,252,0.14149061160020562,0.12396531214296326,29,-1.988534472670876,0.6235615068472132,124,1.420390248234619,0.8883196826230955
3,True,46,1580.254106376965,-2870.993503710602,2.3557654178988323,205,0.5377582251341694,0.38998927328736405,179,-0.9246628903943722,-0.6678572131034661,133,0.9519102003695998,0.5262670395080481,145,-0.29054572533669143,-0.05062452055386763,239,0.12360624989873914,0.05985134593103934,127,-1.9021182036415543,-1.252502392403642,138,1.3660621756050317,0.9067004096402735
4,True,50,723.7748915253258,-1158.0350740073236,3.593357160382514,188,0.5944640442167218,0.36921683265339456,231,-1.3479354216122956,-1.125670207520227,130,1.0436831469754395,0.6010200163867424,226,-0.43147808827146955,-0.22147828644744683,253,0.14524494145800654,0.1621772411713274,21,-1.571789203098073,0.500372959465508,117,1.4929022497341549,0.9838177383160477
5,True,74,-71.01557113879662,431.5458513209212,4.219348117127179,303,0.7696385635045385,0.4873552860598972,201,-0.8460713713714919,-0.5844354854391562,24,-1.5963706595914986,0.6295302397930604,162,-0.2478580831474236,-0.16045439354833438,251,0.18092904585835673,0.13935200328912034,102,-1.8738091316233139,-1.5515124521103882,123,1.4672904328756964,0.9776398888931003
6,True,13,-2131.9649100509037,4553.444529145136,7.159425894905424,323,0.22862125492411217,0.4897877992942092,36,-2.0189770177461104,-1.9759144689358614,116,0.9482255085033403,1.5364510801214395,174,-1.0716909077425052,-1.0490062090528065,298,-0.17637963257147687,-0.26958670311572264,9,-3.6356265312342537,-3.562095940644404,210,0.9236462596663991,0.23776377057840514
7,True,51,-528.7378686840826,1346.9904464114932,1.7493776120155036,273,0.7343948069350894,0.2530216036310913,59,-1.3454072081938395,-0.22396215096285957,64,0.7055571237027908,1.576094932804592,218,-0.4272281438149322,-0.18307006058254177,258,0.14010109452322406,0.08456140571453602,164,-1.4083091011008895,-1.381706223219402,130,1.4575033220561222,0.8245414157247772
8,True,42,102.08124970737924,85.35220962856948,2.4718842168425272,173,0.5930319603186796,0.3585087923071592,2,-1.0702088020945557,-1.1911895497406706,61,1.458457824813772,1.6267810937177012,379,-0.7377380498300838,-0.25198641432979035,268,0.1603190280711324,0.17626123194046234,88,-1.5681984472148947,-1.465246286490042,195,1.1612932043816755,0.4847173608301484
9,True,44,-602.7831524281112,1495.0810138995503,1.5273996013803945,280,0.7236581790452943,0.2913213244519186,60,-1.1596755539324466,-0.30709999376648894,113,0.7555793772887189,1.5988760236345805,256,-0.44491864156929917,-0.20378690708487796,229,0.12899248563449506,0.07104517453233192,139,-1.5057844619592866,-1.4765278648939923,89,1.3720109835669065,0.5900802724489123
10,True,36,-979.66365548211,2248.842020007548,1.6757120197214586,339,0.7104156139554225,0.31089004530264097,129,-1.1962132237916328,-0.6721334858275396,37,0.2842036674638089,1.481501309055139,203,-0.5001415209187116,-0.1632128241866554,243,0.08572137293077285,0.11001599164964734,88,-1.7254499151479286,-1.603995148160825,127,1.418402984094529,0.8255005968227653
11,True,51,356.982796045506,-424.45088304768404,3.2621672459362037,275,0.11676829239674204,0.1321323317947139,95,-1.1882013140051941,-0.7724378189757728,112,1.1009943214015905,1.5079192467549742,114,-0.7532114452045496,-0.4331131338180835,146,-0.3182215764039034,-0.0821611480683504,89,-2.2773434524991796,-1.633744517602011,335,0.8847097929908113,0.28968383856864516
12,True,41,-1385.8080635509396,3061.130836145207,2.460255866330247,161,0.8994072624682274,0.14079933312664147,175,-0.8783525999105043,-0.7606012066370145,94,0.9034150926366387,1.666283091614642,250,-0.3583713416255404,-0.09133195503625813,215,0.13204723886403044,0.13009806287173914,90,-1.3192629966942604,-1.7975441974681292,181,0.9363459540975245,0.9696113305857152
13,True,58,-172.92480018750805,635.3643094183441,3.468417072605138,324,0.777566105346395,0.42279173410403575,238,-1.0482628281241504,-0.8534509715395381,28,-1.1951490522408645,0.6864746868475935,158,-0.29143089305103603,-0.05857155054603327,250,0.14478017408312033,0.1363997024585145,49,-2.1539863396712966,-1.677313932513055,119,1.4534133754855882,0.9309305666628819
14,True,43,-1094.2699991623792,2478.0547073680864,3.97971214147456,22,-0.95612290433655,0.6049104898535824,153,-1.1869374187903172,-0.9125990812093899,99,1.002911800183626,1.6031365915441966,259,-0.4034585790658999,-0.20728384895957808,241,0.15750523417367165,0.12340292505289538,55,-2.2082472927051477,-2.4051669485413276,337,0.9379938732429207,0.3490227079963761
15,True,36,-616.8494314637927,1523.2135719709133,3.8528134856871827,251,0.1588329866945995,0.11049731858045532,110,-0.7070895089636542,-1.040316561565865,91,1.027221460797671,1.691685940203951,38,-1.0996118495803946,-0.04212734338174581,227,-0.4567413203118771,-0.024884504859990154,111,-1.660976242317271,-1.6312068461675022,338,0.9191429335930718,0.44627737235384785
16,True,42,-343.150856682106,975.8164224075399,2.358438005372056,153,0.7544430095943031,-0.25337677707449763,159,-1.0944893016628374,-0.37570622017475874,102,0.9163212174246229,1.6207783829974007,143,-0.35706581491602113,-0.1960795148641939,256,0.09794920168734565,0.05289725478720928,133,-1.655325826610157,-1.450210719874235,220,1.0048006262154465,0.7023041322768581
17,True,33,-1038.655981683756,2366.82667241084,2.988893291643193,359,0.8697026785606149,0.23196565226062907,125,-1.2254357966137661,-0.9320669010312744,122,0.9043923941177475,1.562066637598555,240,-0.4745945949670146,-0.32059747972303804,231,0.11769804401820205,0.059228969039774544,46,-1.8406345197678824,-1.7310729307383548,43,-0.44703094574573826,0.7983431975626196
18,True,53,-96.56469032663946,482.6440896966069,5.566151368025896,240,0.5170446694103414,-0.3465022220925453,204,-0.23060223289546847,-0.356517279563279,147,0.014138647627420224,1.1924950690598293,52,-0.4832453567370706,-0.037705721085040424,240,0.01696701090316077,0.16545465147952873,108,-0.7673505480352837,-1.633457797746585,175,0.2708356131170203,0.692235100842283
19,True,60,-363.8161385564962,1017.1469861563203,4.208666990060108,128,0.964690294986378,0.04255493940270932,260,-0.26410686675784517,-0.4056480077048951,118,0.9024535556316147,1.5589192791748137,213,-0.2714968876028783,-0.35128513611560724,217,-0.0800757809666767,0.11295309811975784,86,-1.2368407406045923,-1.7703822562067584,144,0.2528726645544959,0.979591713633713
20,True,47,281.39429350244626,-273.27387796156455,1.1970499340683067,237,0.769715827593876,0.27592097454674197,225,-0.9230747130052473,-0.5433133618560717,63,0.7499193417719291,1.618524175727614,148,-0.2678776736550998,-0.08646864048546396,266,0.17204537913623233,0.08533928834350266,97,-2.036012331486951,-1.5345937105744738,130,1.4918145375102314,0.6730859367689166
21,True,67,-463.6472079489398,1216.8091249412075,2.773045008340622,58,-0.18575940409630753,-0.43151920242313585,97,-0.9825670668099606,-0.8109446169041846,121,0.9041594873367258,1.5884983561453252,214,-0.5801851478223238,-0.20916061899063917,236,0.13659454818522526,0.0427332326446665,104,-1.7625133932210582,-1.3804442125056446,336,0.8817974631281459,0.34299599374927264
22,True,40,-276.79796943078213,843.1106479048922,4.756758435680486,241,0.11029181397327384,0.08748983886503063,208,-0.956053848043806,-0.5766465652078823,126,0.9775585240648423,1.5330256468412695,11,-1.980288187301658,0.21936132399348177,136,-0.32564125413804124,-0.14087496164961874,86,-1.9852940722493497,-1.7504088934469357,358,0.8675689470138024,0.27086135405514167
23,True,45,-759.4594485748859,1808.4336061930996,3.5003049530075807,222,0.7818286505918027,0.1497283672370772,29,-1.1035186457374995,0.8115271092826696,83,0.7329123814058611,1.1203699832415102,256,-0.4448901095201198,-0.21102466844426732,274,0.16642456693456675,0.18535551667688163,181,-1.3666698822926175,-1.1839061596655625,121,1.4543739809547314,0.9663777716041568
24,True,61,-337.0037886307616,963.5222863048511,2.9394792118380253,143,1.0107039532484714,-0.024566530231545865,187,-0.4459479713404737,-0.5020081009870982,116,0.8487418560211373,1.588820739616311,280,-0.37837220208589734,-0.167856609032485,234,0.1424662885272584,0.0953322797254687,85,-1.5228105904328797,-1.7073531402094613,121,0.7600891096627027,0.9758146116995654
25,True,30,-319.08794939918454,927.6906078416971,4.804587383344583,11,-2.0738433122044673,0.5104052320083996,211,-1.0479443516762035,-0.7031959946243974,101,0.9636885745715167,1.6291800644909742,162,-0.34570610747130903,-0.17479969039685012,240,0.1107982201748354,0.03287422752332042,67,-2.1598572417339197,-1.8271444599551,374,0.8784847381299243,0.3249596767034801
26,True,47,-46.84856801220697,383.21184506774193,1.5451162389317503,249,0.7605595200668864,0.2485977520595743,261,-1.0285306491919417,-0.6034277245928107,68,0.7338695834813448,1.4155857510518841,135,-0.2814029063567986,-0.1823452670484548,272,0.14863089287259412,0.12627571639751184,58,-2.0945714042884958,-1.6490339317551939,123,1.4387322905607711,0.9439855273566007
27,True,29,-798.3636603864022,1886.2420298161323,3.6013070322085086,303,0.8874212200685808,0.11665100445493139,46,-1.1842770753521163,0.47490266367981876,122,0.9078925028666225,1.6247250993229367,181,-0.4623773314630924,-0.29309757765427463,244,0.12406996713415733,-0.051975971394213616,213,-1.383858381164824,-1.1844162958513158,57,0.7343939929868497,1.2819660137773328
28,True,35,-782.756259581976,1855.02722820728,3.2407952924197216,254,0.7416683153563406,0.15857526522049883,359,-0.720785053324991,-0.5076149082168571,61,0.7497979012924496,1.414128975670135,28,-1.3745272456706612,0.9295854517856456,274,0.1302658537738347,0.1834960156849126,65,-1.9808117691020233,-1.6500096033209093,125,1.447231045972895,0.9104796626528852
29,True,29,-698.5233479612546,1686.561404965837,4.42632182106393,281,0.7480615780442749,0.26077050335010377,180,-0.9688890206226773,-0.6224657017421233,29,-1.873985267088136,0.5371717903292177,152,-0.3284302903971357,-0.13583460428011165,270,0.11174179995120923,0.06262642172284216,81,-1.850881347280227,-1.6210078872451423,173,1.2782037484234983,1.154930233140389
30,True,35,-883.3695456781578,2056.2538003996438,2.899524101391969,312,0.7548925212611822,0.465418659099078,114,-1.273974508572503,-1.227575265347044,55,-0.5726295936965289,1.092592614604347,262,-0.5568828498455485,-0.28638850083235784,257,0.1496741956686774,0.1281096304265129,41,-2.103968570815866,-1.9086917107284846,125,1.4520630923080649,0.7636210801955585
31,True,41,-1231.73479086514,2752.984290773608,4.234289537793288,15,-0.6724299629819214,0.8317083529473973,374,-0.6635200577274228,-0.4291707806754114,94,0.9407418413082287,1.6959256369871154,36,-0.14395104296017752,-0.5851226643451919,234,0.17109818061377546,0.11693936363861852,83,-2.054114858425414,-1.8555704270956916,330,0.9139810714602707,0.45434544638218366
32,True,23,19.162160125947214,251.19038879143355,3.8491281112733224,175,0.5312247656190441,0.35318216136414055,334,-0.6745849856360061,-0.39889385932579235,62,1.3844039346435715,1.5880259934301388,30,-1.1569192766659333,0.8084216576680556,250,0.10463518110678108,0.07202900058029894,90,-1.8378519352638485,-1.6933903801707058,225,1.1155548286600407,0.48306260363104325
33,True,46,1395.7570268081604,-2501.999344572993,2.667786677624007,186,0.5937042347998592,0.407191513069886,276,-0.9561430480678509,-0.6120455105794994,125,1.4348453499598102,1.0045101604896824,136,-0.2474368803600882,-0.07353230693311637,243,0.17313367721988632,0.1387546726333451,68,-2.0898958417030618,-1.5758217548379665,132,1.0142747923798363,0.5547573702090921
34,True,52,-773.4787296374902,1836.4721683183084,2.0658999968359195,294,0.766181717965302,0.30709323343052763,37,-1.3835733905304437,0.27072922132295163,105,0.8218861299627267,1.6080870316820037,284,-0.48354118622382924,-0.28065128405173645,231,0.14018815433324744,0.07158997534333654,148,-1.5122436139814057,-1.389194147534538,67,1.4409259894995585,0.776609360283119
35,True,23,331.41679114261467,-373.3188732419014,2.296731089715397,173,0.6079843162203101,0.4659616977492402,240,-0.9782605102015355,-0.5865253460205578,84,1.3241071782049718,1.467376843780348,167,-0.2905070813879051,-0.1743849298557288,262,0.15873861741620277,0.1661477179213689,81,-2.096479437264631,-1.6764412366202304,159,1.2675277706291457,0.4229228730933189
36,True,67,506.5881503474643,-723.6615916516007,1.9902726561685498,173,0.6222563039207768,0.3449466763054166,274,-1.105968555303329,-0.5681944495472738,101,1.0002679041592,1.6591026641370892,137,-0.23944304331393396,-0.1616914011775381,243,0.19140663030342192,0.11212648378556991,66,-1.590529469061399,-1.4258913382882297,172,1.2261121029172453,0.3714160435024871
37,True,36,898.3624200636258,-1507.2101310839237,4.250059170755564,189,0.5693318943801808,0.4020471832113564,36,-1.397721313316991,0.67456915408777,110,1.432584155560012,0.9721619705355458,323,-0.6347285470693448,-0.37456046736516135,281,0.13770576379026464,0.13868215091289998,82,-1.7373801249219567,-1.6367057362271,145,1.0009580249700971,0.3486250069301999
38,True,19,-1032.2388260312487,2353.9923611058252,3.7799511773025527,254,0.8211289480192113,0.1433191901716562,45,-1.097959290475224,0.4787678827926917,52,1.4110484190891934,1.5986010173338898,283,-0.5393426507382899,-0.37428551094528245,245,0.15478795332844025,0.11764380910183092,138,-1.42467562590894,-1.3334470851033233,149,0.9174677409245523,1.058492540077097
39,True,54,-92.88897298144553,475.29265500621904,3.228811065133929,168,0.5875763667018327,0.4051410784248031,14,-2.0519650615683944,-0.41816584585640565,64,1.3329057885969469,1.6648345668826996,363,-0.6275940194606503,-0.36808414397052075,282,0.1654481821212181,0.24520931190502804,85,-1.7306665882272636,-1.644143080492069,190,1.1719425525190676,0.4020943684370321
40,True,48,21.234430954618446,247.04584713409108,1.65986641109349,200,0.7665403305826015,0.14057059912692368,138,-1.1684875827714065,-0.5912030189262726,111,0.7269632442417112,1.3329700979226795,152,-0.26952502975041404,-0.08592139904661403,285,0.1568877038845689,0.11102034329788578,162,-1.588272910442572,-1.3410041820219147,118,1.436125904789517,0.7949564233856458
