half,n_respondents,profile,log_likelihood,BIC,AIC,entropy,size,mean_zINT,mean_zBE
half_1,583,0,161.73779538335208,-62.37991612633397,-241.47559076670416,0.051267925675834505,115,-0.590103645544107,-0.12813396683483147
half_1,583,1,161.73779538335208,-62.37991612633397,-241.47559076670416,0.051267925675834505,44,0.76691395833272,0.5530274227476774
half_1,583,2,161.73779538335208,-62.37991612633397,-241.47559076670416,0.051267925675834505,44,-1.8686568826983891,-1.3472604548857954
half_1,583,3,161.73779538335208,-62.37991612633397,-241.47559076670416,0.051267925675834505,57,-0.9888648714487762,-0.7321477303860723
half_1,583,4,161.73779538335208,-62.37991612633397,-241.47559076670416,0.051267925675834505,139,0.13959353319810436,0.22797291005898343
half_1,583,5,161.73779538335208,-62.37991612633397,-241.47559076670416,0.051267925675834505,90,1.208632077739961,0.3778099478643767
half_1,583,6,161.73779538335208,-62.37991612633397,-241.47559076670416,0.051267925675834505,94,0.589223532394208,0.3897274806858692
half_2,583,0,-14.283602288182422,289.66287921673506,110.56720457636484,0.021404816312047516,154,0.7409032569131215,0.44298304430479846
half_2,583,1,-14.283602288182422,289.66287921673506,110.56720457636484,0.021404816312047516,22,-2.5142638441463396,-2.169350895480798
half_2,583,2,-14.283602288182422,289.66287921673506,110.56720457636484,0.021404816312047516,69,1.4135243898434544,0.9495843315827149
half_2,583,3,-14.283602288182422,289.66287921673506,110.56720457636484,0.021404816312047516,20,-1.3621842168280882,0.7068967054795064
half_2,583,4,-14.283602288182422,289.66287921673506,110.56720457636484,0.021404816312047516,83,-0.27777313561315703,-0.1458986868951613
half_2,583,5,-14.283602288182422,289.66287921673506,110.56720457636484,0.021404816312047516,120,0.14505124575099596,0.054422095299840094
half_2,583,6,-14.283602288182422,289.66287921673506,110.56720457636484,0.021404816312047516,115,-1.0568794597489257,-0.8366515697788612
