K,profile,N,variance_INT,variance_BE,min_INT,max_INT,min_BE,max_BE,zero_variance_INT,zero_variance_BE
2,0,871,0.21133560021877065,0.3290431133457381,3.333333333333333,5.0,2.5,5.0,False,False
2,1,295,0.3050770590722164,0.4582872131903608,1.0,4.0,1.0,5.0,False,False
3,0,758,0.16468438616690817,0.36480491664430137,3.6666666666666665,5.0,2.25,5.0,False,False
3,1,320,0.33441200801114584,0.35304663009404386,1.0,3.6666666666666665,1.0,3.75,False,False
3,2,88,0.2800417972831766,0.17211990595611285,1.0,3.6666666666666665,3.25,5.0,False,False
4,0,124,0.0,0.3489173551009703,5.0,5.0,2.75,5.0,True,False
4,1,487,0.2699721802061651,0.22624977818338532,1.0,4.666666666666667,2.25,5.0,False,False
4,2,169,0.29491092952631415,0.2519239574528036,1.0,3.333333333333333,1.0,3.25,False,False
4,3,386,0.06599525977764324,0.14647441289280666,4.0,4.666666666666667,3.75,5.0,False,False
5,0,598,0.10613484865178119,0.1598805412233968,3.6666666666666665,4.666666666666667,3.25,4.75,False,False
5,1,211,0.33284686175681444,0.3110584518167457,1.0,4.666666666666667,2.25,5.0,False,False
5,2,124,0.0,0.3489173551009703,5.0,5.0,2.75,5.0,True,False
5,3,177,0.3082163442332933,0.27151145993836673,1.0,3.333333333333333,1.0,3.25,False,False
5,4,56,0.14242424242424254,0.0,3.333333333333333,4.666666666666667,5.0,5.0,False,True
6,0,124,0.0,0.3489173551009703,5.0,5.0,2.75,5.0,True,False
6,1,377,0.14183143016598626,0.343835536712004,1.0,3.6666666666666665,2.0,5.0,False,False
6,2,262,0.027414621781560546,0.22300550583486886,4.333333333333333,4.666666666666667,2.5,4.75,False,False
6,3,90,0.26466916354556796,0.2508114856429463,1.0,3.0,1.0,3.0,False,False
6,4,54,0.02441959779485993,0.014522187281621237,4.333333333333333,4.666666666666667,4.75,5.0,False,False
6,5,259,0.0,0.25608706713357876,4.0,4.0,2.25,5.0,True,False
7,0,281,0.026885273682426804,0.24765346975088964,4.333333333333333,4.666666666666667,2.5,4.75,False,False
7,1,125,0.024043010752688197,0.22380645161290325,2.6666666666666665,3.0,2.0,4.0,False,False
7,2,108,0.23745240567670475,0.0,3.0,5.0,5.0,5.0,False,True
7,3,264,0.02730569318021792,0.2815092464569651,3.333333333333333,3.6666666666666665,2.25,4.75,False,False
7,4,245,0.0,0.19668994647039145,4.0,4.0,2.25,4.75,True,False
7,5,70,0.2701633310328962,1.0947851966873707,1.0,3.0,1.0,4.75,False,False
7,6,73,0.0,0.2526160578386606,5.0,5.0,2.75,4.75,True,False
