K_low,K_high,low_profile,low_profile_N,n_high_profiles_matched,high_profiles,split,mean_euclidean_distance_to_children
2,3,0,871,2,"[0, 2]",True,1.060008830663567
2,3,1,295,1,[1],False,0.3819545980245428
3,4,0,758,2,"[0, 3]",True,1.0207869873046465
3,4,1,320,1,[2],False,1.5937406775964709
3,4,2,88,1,[1],False,1.2568197901710385
4,5,0,124,1,[2],False,0.0
4,5,1,487,1,[1],False,0.7251479226899499
4,5,2,169,1,[3],False,0.17031039683292348
4,5,3,386,2,"[0, 4]",True,0.9673624240343712
5,6,0,598,2,"[2, 5]",True,0.4742492790269651
5,6,1,211,1,[1],False,0.1928291455865742
5,6,2,124,1,[0],False,0.0
5,6,3,177,1,[3],False,1.4072916819492334
5,6,4,56,1,[4],False,0.5055329506685694
6,7,0,124,1,[6],False,0.8599096406066637
6,7,1,377,2,"[1, 3]",True,1.193196819668435
6,7,2,262,1,[0],False,0.08836559308075943
6,7,3,90,1,[5],False,0.7186806218215489
6,7,4,54,1,[2],False,0.6627467688314113
6,7,5,259,1,[4],False,0.12482806086163123
