profile,predictor,primary_beta,primary_p,primary_FDR_p,primary_OR,beta_drop_ATT,beta_drop_CON,beta_drop_COVID,beta_drop_PEU,beta_drop_PO,beta_drop_PRI,beta_drop_PU,beta_drop_SNO,p_FDR_drop_ATT,p_FDR_drop_CON,p_FDR_drop_COVID,p_FDR_drop_PEU,p_FDR_drop_PO,p_FDR_drop_PRI,p_FDR_drop_PU,p_FDR_drop_SNO,std_beta,std_FDR_p,n_FDR_sig_dropouts_of_total,fdr_sig_in_drop_ATT,fdr_sig_in_drop_CON,fdr_sig_in_drop_COVID,fdr_sig_in_drop_PEU,fdr_sig_in_drop_PO,fdr_sig_in_drop_PRI,fdr_sig_in_drop_PU,fdr_sig_in_drop_SNO,fdr_sig_in_standardized,primary_significant_FDR
1,ATT,-0.6833537973842967,0.006247386639037661,0.0270720087691632,0.5049207476422521,,-0.6876166419613741,-0.7127098544266085,-0.7037494252683262,-0.7061763133495795,-0.893764732806645,-0.5981005195081915,-0.802179246711688,,0.01897597511601322,0.016355515877554166,0.02140368981207152,0.017702799571754448,0.0016060337405232853,0.061836436698250695,0.005153786662462454,-0.5341539565151613,0.027179298274925448,6,False,True,True,True,True,True,False,True,True,True
1,CON,-0.12107099572702976,0.6591087603615178,0.8050278941103561,0.8859710572006682,-0.31815513072438345,,-0.1873171924478037,-0.13641745958814364,-0.10702294625135972,-0.24123313793411555,-0.3165597809231431,-0.3563426434468188,0.4171049468926002,,0.6651221532325841,0.8117553271810622,0.8338447200128153,0.5697451269930724,0.41679552843281986,0.340875849627426,-0.09393146074709141,0.8044798370374663,0,False,False,False,False,False,False,False,False,False,False
1,SNO,-1.6368618813045406,1.0217731897748424e-08,1.3283051467072952e-07,0.19458973082530484,-1.7059748396598353,-1.672957825015112,-1.7935201430937846,-1.6497638482165289,-1.6753784865516566,-1.7040574652248428,-1.6251991446527514,,2.0840143351203143e-08,3.070587461532547e-08,7.964712865784459e-10,6.991935493208472e-08,3.9959405484985205e-08,1.4467789315436697e-08,4.673032165923036e-08,,-1.3713496951798514,1.3060045434512445e-07,7,True,True,True,True,True,True,True,False,True,True
1,COVID,-0.4938610534050505,0.08424887074512205,0.2233907954907598,0.6102655715231895,-0.5456864329491952,-0.5043701531022228,,-0.5064495755171358,-0.5014960224797121,-0.5042489164850387,-0.7828957393945423,-1.050094422517751,0.17486412029568804,0.19923925018308952,,0.21541392603502946,0.20042540867587405,0.20856213674892166,0.02320707181341578,0.000457898158642056,-0.3803205367718336,0.223293452715059,2,False,False,False,False,False,False,True,True,False,False
1,PU,-1.5660729323873035,2.310731826360014e-07,1.802370824560811e-06,0.2088637961784997,-1.5406774039101987,-1.6014835554741857,-1.6693026824484518,-1.6286251301324934,-1.5898556373085606,-1.7909160786417173,,-1.5626774956761826,2.5065423378816755e-06,6.847628411047086e-07,1.3404931667302117e-07,4.1008241222254387e-07,6.434311575923506e-07,1.6152683798077097e-08,,1.0576679144802092e-06,-1.1740505966602295,1.7984776102461259e-06,7,True,True,True,True,True,True,False,True,True,True
1,PEU,-0.6286463043806364,0.002281297595431378,0.011121325777727968,0.5333132564001601,-0.6516893442259346,-0.6285205938760278,-0.6416390236588896,,-0.6597774450129836,-0.6945740822744821,-0.6679287752120011,-0.6380122476890393,0.006741888720212815,0.010611127687733958,0.007780324605204333,,0.004445603018042299,0.003539510473343969,0.004782084919698083,0.007273126430328549,-0.5614242995236143,0.011016417045050584,7,True,True,True,False,True,True,True,True,True,True
1,PO,-0.1236255623628796,0.58166894173283,0.7561696242526791,0.883710673477273,-0.20095252121080381,-0.13749528544427003,-0.15596073301889643,-0.2869379239727843,,-0.2505805209660965,-0.34874786671771196,-0.31324425111010606,0.5829520433956301,0.743915629588854,0.6651221532325841,0.3901330542226563,,0.46646002734416403,0.244792224471001,0.2991820936632152,-0.11100949844725366,0.7562594990335011,0,False,False,False,False,False,False,False,False,False,False
1,PRI,-2.17404702443802,2.352577282998829e-14,1.8350102807390866e-12,0.1137164710685727,-2.248473543801908,-2.195997496979022,-2.1761468729833258,-2.1982394058604204,-2.175262197128473,,-2.294010275198289,-2.2068340611718935,6.717906875059373e-14,7.516780967949632e-13,1.513356848665149e-12,4.472126239336006e-13,1.421901023889457e-12,,8.44708461103879e-15,1.014481175068787e-13,-1.5522475815772871,1.863659337633454e-12,7,True,True,True,True,True,False,True,True,True,True
1,age,-0.01551429483366747,0.5118251795764686,0.7258611637629918,0.9846054318802574,-0.015138087532639864,-0.01405599204751359,-0.0188516444004996,-0.016636303742584676,-0.014751887991365037,-0.015359541097249779,-0.007096370509970943,-0.021737781304859222,0.7295722935347206,0.7494915602660297,0.6402538057147654,0.6895191377776244,0.7114277713013872,0.6646395732102398,0.9019488061991414,0.5628373340188273,-0.12335800529892704,0.7266651831965816,0,False,False,False,False,False,False,False,False,False,False
1,gender,-0.419318846499988,0.1509181162213459,0.3473090335282214,0.657494522015696,-0.5015849863614471,-0.4350982503269781,-0.3913940573613517,-0.34389781745643905,-0.40912743453528905,-0.46167398564997597,-0.4536592439882392,-0.2455765600129716,0.23163192602599694,0.2959614114478676,0.34702448232857425,0.4681594126417128,0.3384065547866534,0.28188652758088617,0.244792224471001,0.5926791206394592,-0.42019301878162135,0.34453391265333144,0,False,False,False,False,False,False,False,False,False,False
