,ATT,CON,SNO,COVID,PU,PEU,PO,PRI,age,gender,Education,Occupation,income
ATT,1.0,0.6232612661523791,0.5640524527619536,0.5431778027716425,0.4837380222324108,0.4112067389452592,0.5073208980887827,0.46992266593549664,0.05358474018380817,0.05090614104377167,0.058578268825328905,0.005938206816372126,0.04322566525164342
CON,0.6232612661523791,1.0,0.6532589306359179,0.6283605889305246,0.5844045105476808,0.4366263409690207,0.5178343408959386,0.5066972383685291,0.04595680313699755,-0.011755191098689314,-0.022332532743931124,0.003045232415957697,0.06157273463925031
SNO,0.5640524527619536,0.6532589306359179,1.0,0.7148710846351871,0.6212171599208226,0.4890960500107445,0.5901650571074196,0.5577184923932841,0.09377610424778446,-0.07828604484223317,0.04137217301602031,0.031207473516922053,0.10041723762105512
COVID,0.5431778027716425,0.6283605889305246,0.7148710846351871,1.0,0.6299097018666274,0.4565024716362495,0.5261103015783515,0.5084446309580304,0.0988857073873349,-0.05912636238504742,0.005500094064002367,0.0406929303085072,0.01871515745948581
PU,0.4837380222324108,0.5844045105476808,0.6212171599208226,0.6299097018666274,1.0,0.49278979076537205,0.5775800464089217,0.573130502258745,0.035052923343880944,-0.01125270363408114,0.005057161754045725,0.004710669652953384,0.02020090020770363
PEU,0.4112067389452592,0.4366263409690207,0.4890960500107445,0.4565024716362495,0.49278979076537205,1.0,0.510798861876272,0.4175781868723696,0.047088308664561686,-0.05687014602753118,-0.05257893108066456,-0.024383672551535802,0.017922786568508726
PO,0.5073208980887827,0.5178343408959386,0.5901650571074196,0.5261103015783515,0.5775800464089217,0.510798861876272,1.0,0.4784976275785253,0.013371606002585693,-0.009192104859704883,0.008975753790835015,-0.007623496855334824,0.039508777461817975
PRI,0.46992266593549664,0.5066972383685291,0.5577184923932841,0.5084446309580304,0.573130502258745,0.4175781868723696,0.4784976275785253,1.0,0.04782707841476408,-0.0026740614244741196,-0.012707785508889647,0.0033687386110506107,-0.009433425812474125
age,0.05358474018380817,0.04595680313699755,0.09377610424778446,0.0988857073873349,0.035052923343880944,0.047088308664561686,0.013371606002585693,0.04782707841476408,1.0,0.03230376264588212,-0.08373896606089226,0.49344510957356275,0.03307580279047399
gender,0.05090614104377167,-0.011755191098689314,-0.07828604484223317,-0.05912636238504742,-0.01125270363408114,-0.05687014602753118,-0.009192104859704883,-0.0026740614244741196,0.03230376264588212,1.0,-0.05557697097446289,-0.00787649301569558,0.011461612376506397
Education,0.058578268825328905,-0.022332532743931124,0.04137217301602031,0.005500094064002367,0.005057161754045725,-0.05257893108066456,0.008975753790835015,-0.012707785508889647,-0.08373896606089226,-0.05557697097446289,1.0,0.07445971080456035,0.028378067266183866
Occupation,0.005938206816372126,0.003045232415957697,0.031207473516922053,0.0406929303085072,0.004710669652953384,-0.024383672551535802,-0.007623496855334824,0.0033687386110506107,0.49344510957356275,-0.00787649301569558,0.07445971080456035,1.0,0.0841130132891348
income,0.04322566525164342,0.06157273463925031,0.10041723762105512,0.01871515745948581,0.02020090020770363,0.017922786568508726,0.039508777461817975,-0.009433425812474125,0.03307580279047399,0.011461612376506397,0.028378067266183866,0.0841130132891348,1.0
