metric,value,source
BIC_reference_k6,2129.1734426912567,results/17_alternative_model_validation/phase17_master.csv
BIC_covariance_full,18768.870259071464,results/17_alternative_model_validation/phase17_master.csv
BIC_covariance_diag,20087.55547929742,results/17_alternative_model_validation/phase17_master.csv
BIC_covariance_spherical,26200.78835804213,results/17_alternative_model_validation/phase17_master.csv
BIC_mean_scores,2129.1734426912567,results/17_alternative_model_validation/phase17_master.csv
BIC_factor_scores,3184.310581976177,results/17_alternative_model_validation/phase17_master.csv
BIC_seed_1,2128.6883385427004,results/17_alternative_model_validation/phase17_master.csv
BIC_seed_2,2129.7681951862,results/17_alternative_model_validation/phase17_master.csv
BIC_seed_3,2128.6883385427,results/17_alternative_model_validation/phase17_master.csv
BIC_seed_4,2149.02852968257,results/17_alternative_model_validation/phase17_master.csv
BIC_seed_5,2149.0285296825705,results/17_alternative_model_validation/phase17_master.csv
matching_distance_reference_k6,0.0,results/17_alternative_model_validation/phase17_master.csv
matching_distance_covariance_full,2.0316383944950926,results/17_alternative_model_validation/phase17_master.csv
matching_distance_covariance_diag,2.103240290621774,results/17_alternative_model_validation/phase17_master.csv
matching_distance_covariance_spherical,2.2606461166715826,results/17_alternative_model_validation/phase17_master.csv
matching_distance_mean_scores,0.0,results/17_alternative_model_validation/phase17_master.csv
matching_distance_factor_scores,2.3802627697215386,results/17_alternative_model_validation/phase17_master.csv
matching_distance_seed_1,0.2103373308457723,results/17_alternative_model_validation/phase17_master.csv
matching_distance_seed_2,0.3178273015713735,results/17_alternative_model_validation/phase17_master.csv
matching_distance_seed_3,0.2103373308457728,results/17_alternative_model_validation/phase17_master.csv
matching_distance_seed_4,0.4015811665020292,results/17_alternative_model_validation/phase17_master.csv
matching_distance_seed_5,0.4015811665020291,results/17_alternative_model_validation/phase17_master.csv
