claim_id,claim,numerical_value,source_phase,source_file,statistic,sample_size,units,status
DATA-N,Sample size,1166,01,results/01_data_inspection,rows_in_dataset,1166,count,VERIFIED
DATA-MISS,Total missing values,0,01,results/01_data_inspection,sum_missing_cells,1166,count,VERIFIED
DATA-DUP,Duplicate rows (all columns),42,01,results/01_data_inspection,n_duplicate_rows,1166,count,VERIFIED
DATA-RANGE,Psychometric item range,1-5,01,results/01_data_inspection,min_max_item_values,1166,Likert_1_to_5,VERIFIED
MEAS-ATT-A,ATT Cronbach alpha,0.7021115826048248,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-CON-A,CON Cronbach alpha,0.7621009220059145,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-SNO-A,SNO Cronbach alpha,0.8055239192911413,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-COVID-A,COVID Cronbach alpha,0.7728876142223233,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-INT-A,INT Cronbach alpha,0.7823103097751618,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-BE-A,BE Cronbach alpha,0.7479826851933673,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-PU-A,PU Cronbach alpha,0.7274298923373648,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-PEU-A,PEU Cronbach alpha,0.6726744168570922,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-PO-A,PO Cronbach alpha,0.8112650061338942,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-PRI-A,PRI Cronbach alpha,0.918593846027516,02,results/02_measurement,Cronbach_alpha,1166,alpha_0_to_1,VERIFIED
MEAS-INTBE-R,INT-BE Pearson correlation,0.6514575831525611,02,results/02_measurement,pearson_r,1166,r_minus1_to_1,VERIFIED
MEAS-INTBE-CI,INT-BE 95% CI,"[0.6171288762815663, 0.6833111033615757]",02,results/02_measurement,fisher_z_95ci,1166,r,VERIFIED
MEAS-INTBE-P,INT-BE p-value,8.832882449485395e-142,02,results/02_measurement,p_value,1166,p,VERIFIED
IB-INT-M,INT mean,3.891080617495712,02,results/02_measurement,construct_mean,1166,Likert_1_to_5,VERIFIED
IB-BE-M,BE mean,3.788593481989708,02,results/02_measurement,construct_mean,1166,Likert_1_to_5,VERIFIED
GAP-DEF,GAP definition,z(INT)-z(BE),03,results/03_gap_analysis,formula,1166,z_score_difference,VERIFIED
GAP-MEAN,GAP mean,-4.875078804528989e-16,03,results/03_gap_analysis,mean,1166,z_score_difference,VERIFIED
GAP-SD,GAP SD,0.8349160638620378,03,results/03_gap_analysis,SD_ddof1,1166,z_score_difference,VERIFIED
