specification,BIC,AIC,entropy,total_matching_distance
reference_k6,2129.1734426912567,1952.026739849392,0.1418497523045633,0.0
covariance_full,18768.870259071464,16769.643184141838,0.0662008580313194,2.0316383944950926
covariance_diag,20087.55547929742,19454.88868343361,0.0339632499921609,2.103240290621774
covariance_spherical,26200.78835804213,25841.43361799149,0.1509577551270146,2.2606461166715826
mean_scores,2129.1734426912567,1952.026739849392,0.1418497523045633,0.0
factor_scores,3184.310581976177,3007.163879134312,0.1945569381281069,2.3802627697215386
seed_1,2128.6883385427004,1951.541635700835,0.1396771176819383,0.2103373308457723
seed_2,2129.7681951862,1952.621492344335,0.1479465916370803,0.3178273015713735
seed_3,2128.6883385427,1951.5416357008348,0.1396771176819384,0.2103373308457728
seed_4,2149.02852968257,1971.881826840705,0.1506407930425062,0.4015811665020292
seed_5,2149.0285296825705,1971.8818268407051,0.1506407930425063,0.4015811665020291
