K,profile,min_eigenvalue,max_eigenvalue,determinant,SD_INT,SD_BE,n,at_reg_floor
7,0,0.04571469690620429,0.43433429920195876,0.019855460843986192,0.16396729455115983,0.4976479375531357,281,False
7,1,0.08939267631089232,0.5758568271285494,0.0514773829489199,0.15505808831753407,0.47308186565636107,125,False
7,2,1e-06,0.4122991668454625,4.1229916684546276e-07,0.4872908840484344,0.0,108,True
7,3,0.042919298457128746,0.4987791856823718,0.021407252734505354,0.16524434386755246,0.5305744494950404,264,False
7,4,1e-06,0.3645063874473866,3.645063874473867e-07,0.0,0.4434974030029843,245,True
7,5,0.2925393703001168,2.2286704298008164,0.6519738441404213,0.5197723838690318,1.0463198347959244,70,False
7,6,1e-06,0.6016578780483857,6.016578780483862e-07,0.0,0.502609249654899,73,True
6,0,1e-06,0.6087081698745419,6.087081698745418e-07,0.0,0.5906922676834109,124,True
6,1,0.3099271282224143,0.7177764774574532,0.22245840236398895,0.37660513826285785,0.5863749113937294,377,False
6,2,0.046257619579378184,0.4315383550219335,0.019961937060515248,0.16557361438816434,0.472234587715543,262,False
6,3,0.10671745873279387,1.6847795181840666,0.17979538870566442,0.514460069923379,0.5008108282005754,90,False
6,4,0.028111043161499896,0.048038716593942585,0.0013504184355953815,0.1562677119396708,0.12050803824484588,54,False
6,5,1e-06,0.4483761449644312,4.4837614496443106e-07,0.0,0.506050459078518,259,True
