predictor,n_significant_contrasts,min_raw_p,min_FDR_p,largest_abs_beta,largest_OR,smallest_OR
ATT,2,0.006247386639037661,0.0270720087691632,0.890253535838078,1.0437978376619963,0.4105516499993569
CON,0,0.0859195367272153,0.2233907954907598,0.5178366774824715,1.6783928144871925,0.7948827951149025
SNO,4,2.0390292555982402e-10,5.301476064555424e-09,2.4597710108959348,2.343260344108971,0.08545451688030403
COVID,0,0.08424887074512205,0.2233907954907598,0.4938610534050505,1.5286083892341975,0.6102655715231895
PU,4,5.768360594990586e-10,1.1248303160231643e-08,2.597891807382811,6.026172167178008,0.07443032639319898
PEU,4,0.00010184427958527921,0.0006110656775116754,0.9191940558842158,1.1227633745685903,0.39884035462369
PO,0,0.08272680333954979,0.2233907954907598,0.5341461707603273,1.705990995228338,0.7610404252435452
PRI,5,2.352577282998829e-14,1.8350102807390866e-12,2.17404702443802,7.428821066495295,0.1137164710685727
age,0,0.056682178827745636,0.17004653648323692,0.06354963842410309,1.0257003646973148,0.9384275360804888
gender,0,0.1509181162213459,0.3473090335282214,0.419318846499988,0.9811426146194743,0.657494522015696
Education,0,0.09754163224320757,0.24542733274097386,0.32690617697184093,1.1189913717052067,0.7211514004607971
Occupation,0,0.01330842706136917,0.05190286553933976,0.18623355109057926,1.204703587360892,0.9006715171520736
income,0,0.03526443871118363,0.11002504877889292,0.2256922394433236,1.2531899234947026,0.9820540361896906
