construct,k_items,mean,SD,Cronbach_alpha
ATT,3,3.6272155517438542,0.7819901270113023,0.7021115826048248
CON,3,3.8616352201257858,0.7777971866002878,0.7621009220059145
SNO,3,3.9425385934819897,0.837278260348512,0.8055239192911413
COVID,3,3.955403087478559,0.7702831072571306,0.7728876142223233
INT,3,3.891080617495712,0.764901566146851,0.7823103097751618
BE,4,3.788593481989708,0.7540382233856436,0.7479826851933673
PU,3,3.840480274442539,0.7495644247427593,0.7274298923373648
PEU,2,3.599056603773585,0.8921733901919812,0.6726744168570922
PO,2,3.765866209262436,0.8980577397768397,0.8112650061338942
PRI,3,3.962835906232132,0.714153259969382,0.918593846027516
