row,col,r
ATT,ATT,1.0
ATT,CON,0.6232612661523792
ATT,SNO,0.5640524527619537
ATT,COVID,0.5431778027716425
ATT,INT,0.5569443651613439
ATT,BE,0.5208225720732397
ATT,PU,0.4837380222324109
ATT,PEU,0.4112067389452591
ATT,PO,0.5073208980887828
ATT,PRI,0.4699226659354965
CON,ATT,0.6232612661523792
CON,CON,1.0
CON,SNO,0.6532589306359179
CON,COVID,0.6283605889305246
CON,INT,0.5974498420146285
CON,BE,0.559050311393356
CON,PU,0.5844045105476807
CON,PEU,0.4366263409690207
CON,PO,0.5178343408959386
CON,PRI,0.5066972383685291
SNO,ATT,0.5640524527619537
SNO,CON,0.6532589306359179
SNO,SNO,1.0
SNO,COVID,0.7148710846351869
SNO,INT,0.7123374580201937
SNO,BE,0.6223598343146522
SNO,PU,0.6212171599208226
SNO,PEU,0.4890960500107444
SNO,PO,0.5901650571074196
SNO,PRI,0.5577184923932842
COVID,ATT,0.5431778027716425
COVID,CON,0.6283605889305246
COVID,SNO,0.7148710846351869
COVID,COVID,1.0
COVID,INT,0.6415086745147587
COVID,BE,0.5687360597711058
COVID,PU,0.6299097018666275
COVID,PEU,0.4565024716362495
COVID,PO,0.5261103015783515
COVID,PRI,0.5084446309580304
INT,ATT,0.5569443651613439
INT,CON,0.5974498420146285
INT,SNO,0.7123374580201937
INT,COVID,0.6415086745147587
INT,INT,1.0
INT,BE,0.6514575831525619
INT,PU,0.6766477617409535
INT,PEU,0.4944249911386016
INT,PO,0.5426491178530548
INT,PRI,0.6209548496602483
BE,ATT,0.5208225720732397
BE,CON,0.559050311393356
BE,SNO,0.6223598343146522
BE,COVID,0.5687360597711058
BE,INT,0.6514575831525619
BE,BE,1.0
BE,PU,0.6707765873384215
BE,PEU,0.5137809231177444
BE,PO,0.5799649442594985
BE,PRI,0.7141227138319012
PU,ATT,0.4837380222324109
PU,CON,0.5844045105476807
PU,SNO,0.6212171599208226
PU,COVID,0.6299097018666275
PU,INT,0.6766477617409535
PU,BE,0.6707765873384215
PU,PU,1.0
PU,PEU,0.492789790765372
PU,PO,0.5775800464089217
PU,PRI,0.5731305022587451
PEU,ATT,0.4112067389452591
PEU,CON,0.4366263409690207
PEU,SNO,0.4890960500107444
PEU,COVID,0.4565024716362495
PEU,INT,0.4944249911386016
PEU,BE,0.5137809231177444
PEU,PU,0.492789790765372
PEU,PEU,1.0
PEU,PO,0.510798861876272
PEU,PRI,0.4175781868723696
PO,ATT,0.5073208980887828
PO,CON,0.5178343408959386
PO,SNO,0.5901650571074196
PO,COVID,0.5261103015783515
PO,INT,0.5426491178530548
PO,BE,0.5799649442594985
PO,PU,0.5775800464089217
PO,PEU,0.510798861876272
PO,PO,1.0
PO,PRI,0.4784976275785253
PRI,ATT,0.4699226659354965
PRI,CON,0.5066972383685291
PRI,SNO,0.5577184923932842
PRI,COVID,0.5084446309580304
PRI,INT,0.6209548496602483
PRI,BE,0.7141227138319012
PRI,PU,0.5731305022587451
PRI,PEU,0.4175781868723696
PRI,PO,0.4784976275785253
PRI,PRI,1.0
