respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3,post_profile_4,post_profile_5
0,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
1,0,0.9998447826522089,2.8059073832791782e-05,0.00012715808064833175,1.933100189178826e-10,2.434602712025229e-67,0.0
2,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
3,5,0.0,0.0019269425380807356,6.227176770207562e-05,2.4820704369096994e-05,2.886348376760473e-62,0.997985964989848
4,1,0.0,0.992952192436369,1.74132460089678e-17,0.0070478075636309185,6.010235491529902e-25,0.0
5,1,0.0,0.73008191568812,2.0820529529366738e-11,0.26991808429105957,3.246962605817595e-65,0.0
6,0,0.9998437767792947,1.353971493954426e-05,0.00014264572134713066,3.778441862080816e-08,1.9754365497046944e-42,0.0
7,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
8,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
9,1,0.0,0.8711729098313418,1.9626953841802524e-05,0.12880746321479525,2.103286282833328e-14,0.0
10,1,0.0,0.8829030668312965,9.219923804988847e-11,0.11709693307650441,5.245725392835659e-25,0.0
11,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
12,2,0.0,0.008565447283555497,0.961813608195577,0.024645998606846506,0.004974945914021096,0.0
13,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
14,2,0.0,0.008146383499022684,0.9824352357935285,0.009418380702805512,4.643212371108572e-12,0.0
15,2,0.0,0.009058284493304255,0.9872692821740457,0.0036724333326498084,6.857383237723751e-19,0.0
16,0,0.9999192478892461,2.900693565684066e-06,5.099546529828104e-05,2.6753646546731212e-05,1.0230534302688387e-07,0.0
17,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
18,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
19,2,0.0,0.005662081367967568,0.5350191874216325,0.014218508311724795,0.4451002228986753,0.0
20,0,0.9999192478892461,2.900693565684066e-06,5.099546529828104e-05,2.6753646546731212e-05,1.0230534302688387e-07,0.0
21,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
22,1,0.0,0.9999968640040494,1.0897504952180582e-35,3.135995950855392e-06,8.477124152512002e-38,0.0
23,1,0.0,0.6285964661385376,8.333591330289259e-19,0.3714035338614622,1.6730878777327102e-99,0.0
24,2,0.0,0.008146383499022684,0.9824352357935285,0.009418380702805512,4.643212371108572e-12,0.0
25,4,0.0,0.0028266911403110537,0.20515950652243797,0.004174750784688717,0.7878390515525621,0.0
26,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
27,4,0.0,0.0028266911403110537,0.20515950652243797,0.004174750784688717,0.7878390515525621,0.0
28,2,0.0,0.04282314553391563,0.917733481341192,0.027551036833367543,0.011892336291524742,0.0
29,1,0.0,0.8318074204847657,7.336684415992637e-06,0.16818524283081807,5.062725546441587e-49,0.0
30,0,0.9999080112901125,3.822787423841438e-06,7.281124333842298e-05,1.535466265736348e-05,1.6467964733528203e-11,0.0
31,5,0.0,0.000562615357964762,7.476551981030677e-05,0.00014081768835168317,1.0541545976728687e-09,0.9992218003797185
32,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
33,1,0.0,0.8829030668312965,9.219923804988847e-11,0.11709693307650441,5.245725392835659e-25,0.0
