metric,value,source
bootstrap_B,200.0,results/14_k6_stability/bootstrap_results.csv
bootstrap_converged,200.0,results/14_k6_stability/bootstrap_results.csv
bootstrap_mean_matching_cost,2.59943545288815,results/14_k6_stability/bootstrap_results.csv
profile_0_pct_INT_gt_BE,80.5,results/14_k6_stability/configuration_stability.csv
profile_0_pct_BE_gt_INT,19.5,results/14_k6_stability/configuration_stability.csv
profile_1_pct_INT_gt_BE,12.5,results/14_k6_stability/configuration_stability.csv
profile_1_pct_BE_gt_INT,87.5,results/14_k6_stability/configuration_stability.csv
profile_2_pct_INT_gt_BE,87.5,results/14_k6_stability/configuration_stability.csv
profile_2_pct_BE_gt_INT,12.5,results/14_k6_stability/configuration_stability.csv
profile_3_pct_INT_gt_BE,18.0,results/14_k6_stability/configuration_stability.csv
profile_3_pct_BE_gt_INT,82.0,results/14_k6_stability/configuration_stability.csv
profile_4_pct_INT_gt_BE,2.5,results/14_k6_stability/configuration_stability.csv
profile_4_pct_BE_gt_INT,97.5,results/14_k6_stability/configuration_stability.csv
profile_5_pct_INT_gt_BE,48.0,results/14_k6_stability/configuration_stability.csv
profile_5_pct_BE_gt_INT,52.0,results/14_k6_stability/configuration_stability.csv
split_sample_n_halves,2.0,results/14_k6_stability/split_sample_results.csv
split_sample_n_respondents,1166.0,results/14_k6_stability/split_sample_results.csv
split_sample_n_per_half,583.0,results/14_k6_stability/split_sample_results.csv
split_sample_matching_cost,2.7129686482518465,results/14_k6_stability/split_sample_matching.csv
