metric,value
bootstrap_B,200.0
bootstrap_converged,200.0
bootstrap_mean_matching_cost,2.59943545288815
profile_0_pct_INT_gt_BE,80.5
profile_0_pct_BE_gt_INT,19.5
profile_1_pct_INT_gt_BE,12.5
profile_1_pct_BE_gt_INT,87.5
profile_2_pct_INT_gt_BE,87.5
profile_2_pct_BE_gt_INT,12.5
profile_3_pct_INT_gt_BE,18.0
profile_3_pct_BE_gt_INT,82.0
profile_4_pct_INT_gt_BE,2.5
profile_4_pct_BE_gt_INT,97.5
profile_5_pct_INT_gt_BE,48.0
profile_5_pct_BE_gt_INT,52.0
split_sample_n_halves,2.0
split_sample_n_respondents_total,6996.0
