bootstrap,converged,n_iter,log_likelihood,BIC,matching_cost,matched_size_p0,mean_zINT_p0,mean_zBE_p0,matched_size_p1,mean_zINT_p1,mean_zBE_p1,matched_size_p2,mean_zINT_p2,mean_zBE_p2,matched_size_p3,mean_zINT_p3,mean_zBE_p3,matched_size_p4,mean_zINT_p4,mean_zBE_p4,matched_size_p5,mean_zINT_p5,mean_zBE_p5
0,True,22,-1519.8544980683282,3286.8556989785216,3.104448876029751,266,0.9982204358975934,0.912428871694553,321,-0.6692874447834417,-0.5539005250064978,175,0.8676409781630641,-0.1459565585253396,79,-1.900505076360669,-1.68426307053123,55,-0.3922318206115446,1.0158937552197866,270,0.13029715759595734,0.13848497847986121
1,True,32,-2164.2636856817253,4575.674074205316,2.7358485309362712,113,-0.22656369179788874,0.6339786918837775,234,-0.30744730284993205,-0.588631591562398,308,0.816025755376379,0.36318700903525253,174,-1.214006742206159,-1.278808782916285,122,0.9159172965008123,1.5772299014516629,215,0.08477149455715711,0.1822326127936846
2,True,19,-2215.0826614849925,4677.312025811851,2.954752024883467,124,1.4203902482346211,0.8887445419899286,79,-1.0180460778801448,0.47200018989836395,499,0.29781103202287196,0.20050742935315916,177,-1.210026014872862,-1.0267160821221604,103,0.6889568863961061,1.3454576790253525,184,-0.34502078680565723,-0.9631021410895485
3,True,45,-1541.905589689681,3330.957882221227,2.231532884603109,138,1.3660621756050306,0.9069791418008634,145,-0.5733472512874792,-0.2130001182834496,438,0.3332495778616526,0.04440674597277071,99,-1.8384442302538861,-1.5594093946440086,128,0.6605115946062838,1.1253909253836665,218,-0.3525333978693037,-0.201958820862969
4,True,43,-1546.1148160705548,3339.3763349829746,2.8385444079557676,306,0.9480583253224409,0.35671517887016657,34,-0.7741218236407733,-0.6548421627072898,253,0.14524494145800695,0.16246808545731486,200,-1.3281891085383937,-1.184763004344411,117,1.0544230256812948,1.4976714971971223,256,-0.4922123346193241,-0.09084242042122023
5,True,24,-2162.6758044980825,4572.4983118380305,0.8174458368094073,123,1.4672904328756944,0.9777508230424041,320,-0.6451424253283808,-0.43043080556887237,160,0.7989651227023263,0.4890830219636352,76,-1.4151407682484514,-1.3783426674124002,60,0.6157773193472114,1.5264295095981866,427,0.12390023228945425,0.07525991933428551
6,True,32,-1907.1278269189625,4061.40235667979,2.0114805350511014,61,1.4686968106310547,0.7571151862268916,298,-0.8488857961458284,-0.8225923815255798,502,0.34208747698711894,0.40501913485390406,31,-1.5682750460392683,-1.4403807197522034,116,0.8272391169910512,1.5364510801214397,158,-0.010186451148964819,-0.3483686967130621
7,True,57,-723.5391832251016,1694.2250692920686,2.7938856627271385,130,1.4575033220561204,0.9440870596004365,58,-1.284635154094635,-0.18578542477954943,304,0.7348094149541388,0.3915354402259231,203,-1.3426075454005173,-1.296067953632024,184,-0.40494332700244134,-0.11148290990297348,287,0.1401010945232239,0.19496111758680731
8,True,51,-798.9559353415412,1845.0585735249479,1.4406665070947864,152,1.1042050816161884,0.9630090799898752,331,-0.7273382656532675,-0.25064241114746616,216,0.7808071289989256,0.11300165916086997,138,-1.244404056867436,-1.1759093445335225,61,1.4584578248137747,1.6267810937177045,268,0.1603190280711321,0.1762124718092562
9,True,33,-1765.8397558017334,3778.826214445332,2.318210370822013,89,1.3720109835669039,0.5277787308179221,39,-0.9406454654587268,0.3075981283071166,537,0.4041418128168633,0.2206315322210326,134,-1.3445903721520192,-1.2983040908185342,113,0.7810846614447938,1.5988760236345834,254,-0.42264736454822344,-0.4430135546108203
10,True,18,-2320.165792696002,4887.4782882338695,1.926514652399736,128,0.5203388214628816,0.9825288630733285,328,-0.4542858842062006,-0.45123934751580985,165,1.172937845948909,0.28600510639946064,122,-1.3764672540215164,-1.3028069736106822,105,0.8600107343735194,1.5973179934018442,318,0.19963438711235065,0.07820330946411605
11,True,33,-785.6175803827651,1818.3818636073956,1.9386985484985082,132,1.4217378987986797,0.885441982585926,308,-0.6851158143966988,-0.5327830645282465,315,0.7273530889188936,0.3759217571734708,94,-1.7555898493017874,-1.2799790895748644,42,-0.31502251875959647,1.2196703431162317,275,0.11676829239674236,0.1319222551748001
12,True,40,-2400.2419914896846,5047.630685821235,3.3974100822729913,207,1.2160081727494654,0.4161857431269482,178,-0.8225803798756608,-0.6724162864565801,539,0.2604107957295837,0.12007790871907621,72,-1.318957448591792,-1.9987948244701426,94,0.8862868455951379,1.6662830916146427,76,-0.7828915079422071,0.4300980751345239
13,True,42,-1002.1145286094988,2251.375760060863,2.8005051667866656,119,1.453413375485586,0.9309572789829718,19,-1.2502387252846794,-0.4270860644014634,324,0.779034945004416,0.43018780726191297,164,-1.4016345118307598,-1.3349150011377997,290,-0.5291723683941707,-0.03575644243130517,250,0.14478017408312074,0.13649575588110174
14,True,33,-2285.6919385049687,4818.530579851803,2.887857225445929,143,1.2009358261936467,0.6559870106693051,172,-0.7094394217141866,-0.843985537934126,244,0.22273552859614065,0.3772976798680215,70,-1.673964995674985,-2.175331112461271,99,0.9874661615455491,1.6031365915441957,438,-0.05488255393739372,0.06528119801538207
15,True,35,710.0001223582575,-1172.8535418746496,1.7683729080892543,120,1.4723029334031261,0.8237059153786266,273,-0.477005045582706,-0.20573772600315615,184,0.5966563022641085,0.49829976723847985,197,-1.4689532884302616,-1.0819800247902553,123,1.0344796178336184,0.5922218233406091,269,0.15883298669459933,0.14294193619567036
16,True,51,-760.8909199088848,1768.928542659635,3.216100057050428,373,0.903657462648073,0.28853936412203196,222,-1.0954792690043713,-0.39120086188020625,145,-0.3570658149160207,-0.17805927410498756,74,-1.7149306557387363,-1.4921356195361932,82,1.0984537060262083,1.5357932896283113,270,0.09794920168734562,0.11301513725093336
17,True,71,-530.0413736393442,1307.2294501205538,2.86534304842071,224,0.7299000664220183,0.7722608050086828,369,-0.31950011095721614,-0.39420221020368507,163,0.26226474975104835,0.17546828581077137,64,-1.218256374807738,-1.6296401433656462,122,0.8950203860091801,1.5620666375985586,224,-0.31067990990647437,-0.35581319555908436
18,True,55,-1121.5406122429536,2490.2279273277722,4.239929329761476,333,0.9242248812864373,0.297907555568026,14,-2.3403421556390223,0.25677800176332116,252,0.17846003159450027,0.05548844905786943,144,-1.2981246090295153,-1.2140719078688837,106,0.9333140301860708,1.6207028962284094,317,-0.5762534891877525,-0.1911209827054418
19,True,43,-1159.7162217496877,2566.5791463412406,2.855581489774164,66,-0.6273917003062022,0.76563683698859,183,-0.4979494642573601,-0.36237244080685577,370,0.8974015850920234,0.3087064057351299,206,-1.3707822063416246,-1.1838841810590386,118,0.924367661095337,1.5589192791748108,223,0.12272364467383753,0.031408936702995216
20,True,44,-788.4781970182405,1824.1030968783464,0.7895557444320896,130,1.4918145375102294,0.8199343775278827,334,-0.7175171681681154,-0.3468377111869697,237,0.777146910740162,0.3183734501004833,127,-1.3025156916178593,-1.1530142520653655,57,0.3820523485600387,1.480765745394494,281,0.17204537913623263,0.15109695435199677
21,True,27,-1063.089323033215,2373.325348908295,3.1102268000239524,354,0.891213590836391,0.2654705859899773,252,-0.4756479931788383,-0.27606434188272466,236,0.13659454818522518,0.044630849732982945,168,-1.408157453636038,-1.26132720156752,121,0.9037539851993013,1.5884983561453292,35,-0.9759160374338516,0.31831773632311117
22,True,47,-821.4948321751876,1890.1363671922406,0.6830808060784002,139,1.4180910183072213,0.9179100943674152,371,-0.7480335034321889,-0.3093199048308402,282,0.7216368475469523,0.22809578130731195,78,-1.69246753184658,-1.565894482204344,39,0.7132975119424149,1.4377232975775198,257,0.1102918139732742,0.1542742910132553
23,True,63,-114.32002144396391,475.7867457297931,1.3948323795222526,178,1.1892587357579216,0.4042725861750624,284,-0.5447167201702053,-0.24219660044842503,169,0.595741038274621,0.34008416818110737,174,-1.5499960933232053,-1.276992103102194,99,0.9919304312514773,1.6357149736899077,262,0.16642456693456661,0.13354887638308652
24,True,48,-1088.4320978239944,2424.010898489854,3.691344661516808,364,0.9022681553034008,0.3023494542620111,157,-1.1601047121536179,-1.115771823564639,234,0.14246628852725823,0.08986130777571047,90,-1.7686332998087513,-1.0220570289329292,116,0.8495881347061872,1.5888207396163117,205,-0.4357620121536291,-0.15981571572885392
25,True,38,-515.1704241510045,1277.4875511438743,3.5537722283129525,248,1.233916812365458,0.6805068439738112,365,-0.6836972025257714,-0.41985872637669913,212,0.5673025478209784,0.43661976868592,69,-1.6695510742961375,-1.4134780692751103,22,-1.5533570697828398,0.727936011923193,250,0.11079822017483558,0.0833212862506975
26,True,36,-263.8086181921055,774.7639392260762,3.042671609132175,349,0.8967883681954189,0.3712740798861955,206,-0.968025204451534,-0.4856356171578515,261,0.14863089287259498,0.08135128941147952,109,-1.8385618232603471,-1.54678090712167,109,0.9564969993056666,1.562982816056403,132,-0.2814029063567986,-0.2149582103256417
27,True,48,-830.5290925257547,1908.2048878933747,1.9332115500667886,57,0.7347962085013166,1.281966013777333,241,-0.49463638978524943,-0.24802071524219463,303,0.8854758562299737,0.12448293438772376,199,-1.4381397551971145,-0.9897725296031011,122,0.9076596900279382,1.6247250993229316,244,0.12406996713415759,-0.052406843750418715
28,True,42,-848.2221790608402,1943.5910609635457,0.8265110035233728,125,1.4472310459728943,0.9103893330087119,329,-0.7115087864323948,-0.28390269249886224,298,0.7451213608553271,0.28966436666595946,101,-1.4208402253994608,-1.3782174812223975,39,0.15271439129448436,1.4999610326339585,274,0.1302658537738349,0.18338019029936292
29,True,41,-1744.6219771381075,3736.39065711808,1.9747144712376967,207,0.9601570933440052,0.42945523325379487,270,-0.40972218922147163,-0.41960691831440783,125,0.49678471088184256,0.16374627685755297,165,-1.0922318844922296,-0.9784301755085424,126,0.8040449543595241,1.5876732046001527,273,0.09933655063694073,0.25930373009073193
30,True,50,-890.7444104738961,2028.6355237896576,2.4673142422734906,125,1.4520630923080629,0.7636476129945694,284,-0.5621939959675832,-0.321436921351862,312,0.7546653309632904,0.4820562988027238,150,-1.5567880111132009,-1.3374041936280692,38,-0.9169795300941528,1.0051551221364654,257,0.14967419566867737,0.12819551933352305
31,True,35,-2345.9748038381936,4939.096310518253,2.895512727025584,217,0.9492009150095683,0.6901071194472713,123,-0.5156294482109808,-0.7198111261213539,337,0.2331239395274925,0.2882461345423819,147,-1.0486378143801955,-0.9295128655879801,94,0.9284779751164229,1.6959256369871156,248,-0.1903911408075377,-0.3155434473001161
32,True,43,-1048.676570815867,2344.4998444735993,3.993223367283104,361,0.8673629235164352,0.3004136001209925,30,-1.630938799137629,-0.8662154582992987,240,0.10463518110678113,0.02399381423638591,126,-1.5632245499138209,-1.4020978070452097,114,1.0437057570333135,1.5880259934301375,295,-0.6086761570942251,-0.2234759981974851
33,True,46,-1116.5628871381757,2480.2724771182166,3.393333455566319,355,0.9026202977828796,0.37061869230824696,238,-0.9840425478763623,-0.7835486268604772,234,0.17313367721988596,0.08912084194215257,69,-1.9740997180947057,-1.4482087342003565,105,0.9588036204977193,1.623299407644637,165,-0.3700353244478358,-0.0839530076068671
34,True,42,-1135.8461970044373,2518.8390968507397,1.618407079434691,138,0.7622695479039723,0.5580424332320874,298,-0.5819124352989742,-0.20170497831707657,234,0.9213359019163017,0.1236067395975726,150,-1.6560360319466199,-1.173768959179881,105,0.8162634006525035,1.3058193240273215,241,0.14018815433324747,0.13739274910205015
