metric,profile_1,profile_2,n_1,n_2,mean_1,mean_2,SD_1,SD_2,Cohens_d
INT,0,1,124,377,5.0,3.336870026525199,0.0,0.37660513826285785,5.0874048525748226
INT,0,2,124,262,5.0,4.478371501272264,0.0,0.16557361438816434,3.821338764119072
INT,0,3,124,90,5.0,2.333333333333333,0.0,0.514460069923379,8.000000000000002
INT,0,4,124,54,5.0,4.438271604938272,0.0,0.1562677119396708,6.550516178392328
INT,0,5,124,259,5.0,4.0,0.0,0.0,
INT,1,2,377,262,3.336870026525199,4.478371501272264,0.37660513826285785,0.16557361438816434,-3.7044738768848355
INT,1,3,377,90,3.336870026525199,2.333333333333333,0.37660513826285785,0.514460069923379,2.467977855523739
INT,1,4,377,54,3.336870026525199,4.438271604938272,0.37660513826285785,0.1562677119396708,-3.086648223617612
INT,1,5,377,259,3.336870026525199,4.0,0.37660513826285785,0.0,-2.2864574505822883
INT,2,3,262,90,4.478371501272264,2.333333333333333,0.16557361438816434,0.514460069923379,7.241419058206485
INT,2,4,262,54,4.478371501272264,4.438271604938272,0.16557361438816434,0.1562677119396708,0.2444520738772291
INT,2,5,262,259,4.478371501272264,4.0,0.16557361438816434,0.0,4.074155443210278
INT,3,4,90,54,2.333333333333333,4.438271604938272,0.514460069923379,0.1562677119396708,-5.031785718182034
INT,3,5,90,259,2.333333333333333,4.0,0.514460069923379,0.0,-6.396859488901936
INT,4,5,54,259,4.438271604938272,4.0,0.1562677119396708,0.0,6.7938560486237245
BE,0,1,124,377,4.465725806451613,3.559681697612732,0.5906922676834109,0.5863749113937294,1.542354857634983
BE,0,2,124,262,4.465725806451613,3.95706106870229,0.5906922676834109,0.472234587715543,0.9912335267257555
BE,0,3,124,90,4.465725806451613,2.3444444444444446,0.5906922676834109,0.5008108282005754,3.823951448480445
BE,0,4,124,54,4.465725806451613,4.912037037037037,0.5906922676834109,0.12050803824484588,-0.8958194144547676
BE,0,5,124,259,4.465725806451613,3.8947876447876446,0.5906922676834109,0.506050459078518,1.067489513236271
BE,1,2,377,262,3.559681697612732,3.95706106870229,0.5863749113937294,0.472234587715543,-0.7324701299991726
BE,1,3,377,90,3.559681697612732,2.3444444444444446,0.5863749113937294,0.5008108282005754,2.128294245192457
BE,1,4,377,54,3.559681697612732,4.912037037037037,0.5863749113937294,0.12050803824484588,-2.456185817955225
BE,1,5,377,259,3.559681697612732,3.8947876447876446,0.5863749113937294,0.506050459078518,-0.6036943878690713
BE,2,3,262,90,3.95706106870229,2.3444444444444446,0.472234587715543,0.5008108282005754,3.361981456185963
BE,2,4,262,54,3.95706106870229,4.912037037037037,0.472234587715543,0.12050803824484588,-2.2035685139794423
BE,2,5,262,259,3.95706106870229,3.8947876447876446,0.472234587715543,0.506050459078518,0.12726081842339299
BE,3,4,90,54,2.3444444444444446,4.912037037037037,0.5008108282005754,0.12050803824484588,-6.367082389628114
BE,3,5,90,259,2.3444444444444446,3.8947876447876446,0.5008108282005754,0.506050459078518,-3.0717397786472063
BE,4,5,54,259,4.912037037037037,3.8947876447876446,0.12050803824484588,0.506050459078518,2.1942644174814347
gap,0,1,124,377,0.5517464056577344,-0.4209703769109993,0.7833717832382465,0.8626306383218179,1.152800930178291
gap,0,2,124,262,0.5517464056577344,0.5443788092064684,0.7833717832382465,0.6304511978077965,0.010784427692073177
gap,0,3,124,90,0.5517464056577344,-0.1213130683759609,0.7833717832382465,0.46357791753102456,1.007528334253317
gap,0,4,124,54,0.5517464056577344,-0.7745282754088731,0.7833717832382465,0.1861897736702671,2.0009993980564
gap,0,5,124,259,0.5517464056577344,0.001562674933235664,0.7833717832382465,0.6711204331344681,0.7756675986042669
gap,1,2,377,262,-0.4209703769109993,0.5443788092064684,0.8626306383218179,0.6304511978077965,-1.2440931036705507
gap,1,3,377,90,-0.4209703769109993,-0.1213130683759609,0.8626306383218179,0.46357791753102456,-0.37374369341668273
gap,1,4,377,54,-0.4209703769109993,-0.7745282754088731,0.8626306383218179,0.1861897736702671,0.4363641869205007
gap,1,5,377,259,-0.4209703769109993,0.001562674933235664,0.8626306383218179,0.6711204331344681,-0.5346371899417253
gap,2,3,262,90,0.5443788092064684,-0.1213130683759609,0.6304511978077965,0.46357791753102456,1.1235482172091609
gap,2,4,262,54,0.5443788092064684,-0.7745282754088731,0.6304511978077965,0.1861897736702671,2.2745477288704254
gap,2,5,262,259,0.5443788092064684,0.001562674933235664,0.6304511978077965,0.6711204331344681,0.8338369633559262
gap,3,4,90,54,-0.1213130683759609,-0.7745282754088731,0.46357791753102456,0.1861897736702671,1.7000634752099222
gap,3,5,90,259,-0.1213130683759609,0.001562674933235664,0.46357791753102456,0.6711204331344681,-0.1967583835373384
gap,4,5,54,259,-0.7745282754088731,0.001562674933235664,0.1861897736702671,0.6711204331344681,-1.2597256859041763
