predictor,n_significant_contrasts,min_raw_p,min_FDR_p,largest_abs_beta,largest_OR,smallest_OR
ATT,2,4.395268404214404e-05,0.0002856924462739,1.6109943851774788,0.888724306494171,0.1996889475864225
CON,0,0.0214750391881325,0.058161564467859,1.0162423147230224,0.848296785511963,0.3619524914986262
SNO,4,2.013563776812275e-11,6.544082274639892e-10,3.211399651324129,0.7314254935809524,0.0403001675961749
COVID,1,0.0059221917298908,0.0226436742613474,0.8504282860529491,0.7911491361898167,0.4272319152890897
PU,5,9.583486695065696e-13,6.229266351792702e-11,2.9182021055099603,0.3846344300464471,0.0540307416001328
PEU,0,0.0496880098391224,0.1153471656979629,0.4650994104409406,1.32348267858349,0.6280726651055132
PO,0,0.1115920407328387,0.2266713327385786,0.5817147810857126,1.3133865259672717,0.5589390861495124
PRI,5,6.661745823648066e-10,8.660269570742487e-09,2.4291767962127944,3.572844337067961,0.0881093346742719
age,0,0.1613705024279221,0.3085024311122041,0.0236009047326909,1.0238816100345112,0.9777714895330368
gender,1,0.0160462559373414,0.0496669826631996,0.6225759904555133,1.8637227957083276,1.352134557681871
Education,0,0.0408724472525296,0.0994191539176241,0.6118693202746672,1.338643811316814,0.542336121018729
Occupation,3,0.0009079001159607,0.0045395005798038,0.3659731571224617,0.8584583739509754,0.6935214170703716
income,0,0.1754868828980661,0.3168513163437305,0.2326904072890512,1.0245946434895452,0.792398856463575
