predictor,n_significant_contrasts,min_raw_p,min_FDR_p,largest_abs_beta,largest_OR,smallest_OR
ATT,2,4.3952684042144036e-05,0.00028569244627393625,1.6109943851774788,0.888724306494171,0.19968894758642255
CON,0,0.02147503918813256,0.05816156446785902,1.0162423147230224,0.848296785511963,0.3619524914986262
SNO,4,2.013563776812275e-11,6.544082274639893e-10,3.211399651324129,0.7314254935809524,0.040300167596174934
COVID,1,0.00592219172989086,0.022643674261347405,0.8504282860529491,0.7911491361898167,0.42723191528908977
PU,5,9.583486695065696e-13,6.229266351792702e-11,2.9182021055099603,0.3846344300464471,0.05403074160013286
PEU,0,0.049688009839122485,0.11534716569796291,0.4650994104409406,1.32348267858349,0.6280726651055132
PO,0,0.11159204073283872,0.22667133273857865,0.5817147810857126,1.3133865259672715,0.5589390861495124
PRI,5,6.661745823648067e-10,8.660269570742487e-09,2.4291767962127944,3.5728443370679615,0.08810933467427193
age,0,0.16137050242792217,0.3085024311122041,0.023600904732690928,1.0238816100345112,0.9777714895330367
gender,1,0.016046255937341432,0.04966698266319967,0.6225759904555133,1.8637227957083273,1.352134557681871
Education,0,0.04087244725252961,0.09941915391762414,0.6118693202746672,1.338643811316814,0.542336121018729
Occupation,3,0.0009079001159607684,0.004539500579803842,0.36597315712246176,0.8584583739509754,0.6935214170703716
income,0,0.17548688289806613,0.31685131634373054,0.23269040728905124,1.0245946434895452,0.792398856463575
