predictor,VIF,tolerance
COVID,67.44221815766522,0.01482750756599105
SNO,64.9348178752371,0.015400058592931698
PU,61.105731680149866,0.016365076933116063
CON,59.0374231411979,0.016938408670180816
PRI,51.24623499717819,0.01951362866081896
ATT,43.214189103178235,0.02314054760144635
PO,35.714167855718046,0.02800009240142198
PEU,26.665426428440036,0.037501744166125506
age,13.924741438340716,0.07181461892330554
Education,13.780570873825342,0.07256593425308588
income,12.870949543206143,0.0776943454438328
Occupation,3.980248929715518,0.2512405675268842
gender,1.9938715377993594,0.5015368247363129
