specification,alt_profile,matched_reference_profile,euclidean_distance_std_INT_BE
covariance_full,0,5,0.11081990055955428
covariance_full,1,0,0.4816516856683404
covariance_full,2,3,0.15440893849888257
covariance_full,3,2,0.442092538393827
covariance_full,4,1,0.26197566868431477
covariance_full,5,4,0.5806896626901736
covariance_diag,0,5,0.2760350988750305
covariance_diag,1,4,0.38183141809924104
covariance_diag,2,2,0.3193818744438214
covariance_diag,3,1,0.3964000397110244
covariance_diag,4,0,0.45213009815050836
covariance_diag,5,3,0.27746176134214867
covariance_spherical,0,4,0.7135826522699336
covariance_spherical,1,3,0.33886272040851617
covariance_spherical,2,0,0.35148358855854156
covariance_spherical,3,2,0.3390031218069812
covariance_spherical,4,5,0.04722683757655938
covariance_spherical,5,1,0.47048719605105044
factor_scores,0,4,1.088244218714293
factor_scores,1,5,0.2614991177293749
factor_scores,2,0,0.2809486292273823
factor_scores,3,1,0.2848498061458988
factor_scores,4,3,0.19115641394210173
factor_scores,5,2,0.27356458396248756
seed_1,0,2,0.0370988606488196
seed_1,1,1,0.018256142824633687
seed_1,2,4,0.0630555340803577
seed_1,3,3,0.01741855833067416
seed_1,4,0,0.04594083329679799
seed_1,5,5,0.028567401664489147
seed_2,0,1,0.05103832134178599
seed_2,1,0,0.04460615796601168
seed_2,2,3,0.062004694878854696
seed_2,3,5,0.06380336861401732
seed_2,4,2,0.043962208242758406
seed_2,5,4,0.05241255052794546
seed_3,0,1,0.01825614282463392
seed_3,1,2,0.03709886064882011
seed_3,2,3,0.017418558330674107
seed_3,3,0,0.04594083329679827
seed_3,4,4,0.06305553408035702
seed_3,5,5,0.02856740166448942
seed_4,0,4,0.10321607995261343
seed_4,1,1,0.0529391056189775
seed_4,2,3,0.06944329233652936
seed_4,3,2,0.026481100465421164
seed_4,4,0,0.05338557993289873
seed_4,5,5,0.09611600819558899
seed_5,0,2,0.026481100465421164
seed_5,1,1,0.0529391056189775
seed_5,2,3,0.06944329233652936
seed_5,3,4,0.10321607995261343
seed_5,4,5,0.09611600819558899
seed_5,5,0,0.05338557993289873
