K,seed,converged,n_iter,log_likelihood,BIC,entropy,class_sizes
2,42,True,7,-2927.589537432892,5932.8537529017985,0.599786309643466,"[871, 295]"
2,123,True,7,-2927.589537432892,5932.8537529017985,0.599786309643466,"[295, 871]"
2,999,True,7,-2927.589537432892,5932.8537529017985,0.599786309643466,"[871, 295]"
2,2024,True,7,-2927.589537432892,5932.8537529017985,0.599786309643466,"[871, 295]"
2,7,True,7,-2927.589537432892,5932.8537529017985,0.599786309643466,"[871, 295]"
3,42,True,13,-2894.5520094838844,5909.146703205246,0.5449290825716492,"[355, 170, 641]"
3,123,True,13,-2894.5520094838844,5909.146703205246,0.5449290825716491,"[641, 355, 170]"
3,999,True,13,-2894.5520094838844,5909.146703205246,0.5449290825716491,"[641, 355, 170]"
3,2024,True,13,-2894.5520094838844,5909.146703205246,0.5449290825716491,"[641, 355, 170]"
3,7,True,13,-2894.5520094838844,5909.146703205246,0.5449290825716492,"[355, 170, 641]"
4,42,True,32,-2313.074008068691,4788.558706576322,0.4396491267029076,"[280, 108, 595, 183]"
4,123,True,25,-2255.4960497217244,4673.402789882389,0.2768811566398412,"[124, 251, 699, 92]"
4,999,True,31,-2252.9141647341075,4668.239019907155,0.25086790547610927,"[92, 245, 705, 124]"
4,2024,True,32,-2313.074008068691,4788.558706576322,0.43964912670290723,"[183, 595, 280, 108]"
4,7,True,35,-2313.0472259045664,4788.505142248073,0.4374192592129827,"[243, 632, 108, 183]"
5,42,True,24,-2222.2192012411006,4649.217099122604,0.3389444651313579,"[467, 136, 124, 316, 123]"
5,123,True,24,-2223.9385363592373,4652.6557693588775,0.35417864699624413,"[162, 275, 177, 124, 428]"
5,999,True,24,-2222.6635581187893,4650.105812877981,0.3334738117838847,"[124, 136, 124, 269, 513]"
5,2024,True,24,-2223.9385363592373,4652.6557693588775,0.3541786469962435,"[428, 177, 124, 162, 275]"
5,7,True,24,-2222.2192012411,4649.217099122603,0.3389444651313586,"[316, 467, 136, 123, 124]"
6,42,True,44,-1609.4466292062443,3466.039961254354,0.20784313640980948,"[259, 52, 88, 399, 41, 327]"
6,123,True,49,-1923.4656333152961,4094.0779694724574,0.31507676269341556,"[73, 168, 662, 122, 33, 108]"
6,999,True,28,-1099.8316165883898,2446.8099360186447,0.14068282243147703,"[264, 354, 160, 108, 35, 245]"
6,2024,True,41,-1104.0188168029981,2455.1843364478614,0.09168155848130204,"[296, 245, 22, 141, 108, 354]"
6,7,True,30,-953.9057124494568,2154.9581277407788,0.149406784776125,"[259, 95, 316, 361, 11, 124]"
7,42,True,67,-682.7638321323632,1655.0423733080543,0.17495620564170175,"[108, 154, 86, 256, 226, 107, 229]"
7,123,True,54,-194.7321783043716,678.9790656520711,0.080845417744727,"[167, 168, 264, 108, 27, 245, 187]"
7,999,True,39,1493.4133877500149,-2697.312066456702,0.052616007299468366,"[237, 124, 75, 131, 259, 185, 155]"
7,2024,True,51,-669.1918379905658,1627.8983850244595,0.13599944415526294,"[281, 80, 245, 122, 73, 257, 108]"
7,7,True,50,-669.2150225234424,1627.9447540902127,0.13541669701553377,"[80, 108, 245, 257, 281, 122, 73]"
