phase,variable,value_A,value_B,abs_diff,status
P01_dimensions,N,1166,1166,0,PASS
P02_scores,N,1166,1166,0,PASS
P04_K6_labels,N,1166,1166,0,PASS
P04_fit_min_BIC,K,6,6,0,PASS
P18_predictor,K,6,6,0,PASS
P02_definitions,n_constructs,10,10,0,PASS
P18,reference_profile,0,0,0,PASS
P18,n_tests,65,65,0,PASS
P18,n_predictors,13,13,0,PASS
P04_vs_P13_size_profile_0,profile_N,124,124,0,PASS
P04_vs_P13_size_profile_1,profile_N,377,377,0,PASS
P04_vs_P13_size_profile_2,profile_N,262,262,0,PASS
P04_vs_P13_size_profile_3,profile_N,90,90,0,PASS
P04_vs_P13_size_profile_4,profile_N,54,54,0,PASS
P04_vs_P13_size_profile_5,profile_N,259,259,0,PASS
