section,result_name,value,unit_or_scale,source_phase,source_file,status,notes
evidence_matrix,DATA-N: Sample size,1166,count,01,results/01_data_inspection,VERIFIED,rows_in_dataset
evidence_matrix,DATA-MISS: Total missing values,0,count,01,results/01_data_inspection,VERIFIED,sum_missing_cells
evidence_matrix,DATA-DUP: Duplicate rows (all columns),42,count,01,results/01_data_inspection,VERIFIED,n_duplicate_rows
evidence_matrix,DATA-RANGE: Psychometric item range,1-5,Likert_1_to_5,01,results/01_data_inspection,VERIFIED,min_max_item_values
evidence_matrix,MEAS-ATT-A: ATT Cronbach alpha,0.7021115826048248,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-CON-A: CON Cronbach alpha,0.7621009220059145,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-SNO-A: SNO Cronbach alpha,0.8055239192911413,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-COVID-A: COVID Cronbach alpha,0.7728876142223233,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-INT-A: INT Cronbach alpha,0.7823103097751618,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-BE-A: BE Cronbach alpha,0.7479826851933673,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-PU-A: PU Cronbach alpha,0.7274298923373648,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-PEU-A: PEU Cronbach alpha,0.6726744168570922,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-PO-A: PO Cronbach alpha,0.8112650061338942,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-PRI-A: PRI Cronbach alpha,0.918593846027516,alpha_0_to_1,02,results/02_measurement,VERIFIED,Cronbach_alpha
evidence_matrix,MEAS-INTBE-R: INT-BE Pearson correlation,0.6514575831525611,r_minus1_to_1,02,results/02_measurement,VERIFIED,pearson_r
