respondent,INT,BE
0,4.0,4.0
1,5.0,2.75
2,4.0,3.75
3,4.0,2.75
4,3.0,4.0
5,3.333333333333333,2.75
6,5.0,3.25
7,4.0,4.0
8,4.0,4.0
9,3.6666666666666665,4.0
10,3.333333333333333,3.75
11,3.6666666666666665,3.5
12,4.666666666666667,4.5
13,4.0,3.75
14,4.666666666666667,4.0
15,4.666666666666667,3.75
16,5.0,4.5
17,4.0,4.0
18,5.0,5.0
19,4.666666666666667,4.75
20,5.0,4.5
21,4.0,4.0
22,2.333333333333333,4.25
23,3.0,2.25
24,4.666666666666667,4.0
25,4.666666666666667,5.0
26,4.0,4.0
27,4.666666666666667,5.0
28,4.333333333333333,4.5
29,3.6666666666666665,3.0
30,5.0,4.25
31,4.0,4.25
32,4.0,4.0
33,3.333333333333333,3.75
34,4.0,4.0
35,4.333333333333333,4.5
36,3.6666666666666665,4.0
37,4.0,4.0
38,4.0,3.25
39,4.0,2.5
40,4.0,3.5
41,4.666666666666667,4.5
42,5.0,5.0
43,3.6666666666666665,4.25
44,4.0,4.5
45,3.6666666666666665,3.5
46,3.0,3.25
47,2.6666666666666665,3.75
48,4.333333333333333,4.5
49,4.666666666666667,4.0
50,3.0,3.5
51,3.6666666666666665,3.25
52,4.0,3.5
53,3.6666666666666665,4.0
54,2.333333333333333,2.75
55,3.6666666666666665,3.25
56,4.0,3.75
57,5.0,5.0
58,5.0,5.0
59,5.0,5.0
60,5.0,4.0
61,5.0,5.0
62,3.333333333333333,3.5
63,5.0,4.75
64,4.666666666666667,4.75
65,5.0,4.5
66,4.666666666666667,4.75
67,5.0,3.75
68,4.333333333333333,4.5
69,4.0,4.0
70,4.0,4.5
71,5.0,5.0
72,5.0,5.0
73,4.666666666666667,5.0
74,2.6666666666666665,2.5
75,4.0,4.25
76,3.0,3.5
77,4.0,3.25
78,4.666666666666667,4.5
79,3.6666666666666665,3.5
80,1.6666666666666667,4.25
81,4.0,4.75
82,4.0,5.0
83,3.6666666666666665,4.25
84,3.6666666666666665,3.25
85,3.0,3.5
86,4.333333333333333,4.25
87,4.333333333333333,3.25
88,4.666666666666667,4.75
89,4.333333333333333,5.0
90,4.0,4.0
91,3.6666666666666665,4.0
92,3.6666666666666665,4.5
93,5.0,3.75
94,4.333333333333333,4.25
95,4.0,4.0
96,4.0,5.0
97,4.0,5.0
98,4.0,5.0
99,4.333333333333333,3.75
100,4.333333333333333,4.0
101,4.666666666666667,5.0
102,4.333333333333333,4.75
103,4.666666666666667,5.0
104,4.333333333333333,4.25
105,4.0,3.75
106,4.333333333333333,4.5
107,4.0,5.0
108,4.666666666666667,4.5
109,4.333333333333333,5.0
110,4.333333333333333,4.75
111,4.0,4.5
112,5.0,5.0
113,5.0,4.5
114,4.333333333333333,4.75
115,3.6666666666666665,4.25
116,4.666666666666667,4.25
117,5.0,5.0
118,4.666666666666667,5.0
119,4.333333333333333,3.75
120,3.0,3.0
121,3.6666666666666665,4.5
122,3.0,3.5
123,3.0,2.5
124,5.0,4.25
125,5.0,4.0
126,5.0,4.75
127,4.0,4.0
128,4.333333333333333,4.25
129,4.666666666666667,4.75
130,4.0,4.25
131,4.666666666666667,3.5
132,4.0,3.75
133,4.333333333333333,3.75
134,3.6666666666666665,3.0
135,3.6666666666666665,3.5
136,3.6666666666666665,3.5
137,4.333333333333333,4.5
138,4.333333333333333,3.25
139,3.333333333333333,4.0
140,4.333333333333333,4.5
141,4.333333333333333,4.0
142,4.333333333333333,4.5
143,4.0,4.25
144,4.666666666666667,3.5
145,4.0,3.5
146,4.0,4.0
147,4.666666666666667,4.5
148,2.333333333333333,4.5
149,5.0,3.25
150,4.333333333333333,3.5
151,5.0,4.0
152,4.0,3.75
153,5.0,4.0
154,5.0,4.25
155,5.0,4.25
156,4.0,4.25
157,4.666666666666667,3.5
158,3.6666666666666665,4.0
159,4.666666666666667,4.25
160,3.6666666666666665,3.25
161,4.0,4.0
162,4.333333333333333,3.5
163,3.0,3.0
164,2.333333333333333,2.75
165,2.0,2.25
166,3.6666666666666665,3.0
167,4.333333333333333,5.0
168,4.0,3.75
169,4.333333333333333,4.0
170,4.0,3.75
171,4.333333333333333,5.0
172,4.333333333333333,3.5
173,4.0,3.5
174,5.0,5.0
175,4.666666666666667,3.5
176,3.333333333333333,3.25
177,4.666666666666667,4.0
178,4.333333333333333,5.0
179,4.333333333333333,4.5
180,4.0,3.5
181,4.333333333333333,4.5
182,4.666666666666667,5.0
183,1.3333333333333333,1.75
184,5.0,4.0
185,4.666666666666667,3.5
186,3.333333333333333,3.25
187,3.333333333333333,3.5
188,4.0,4.25
189,4.333333333333333,3.75
190,5.0,4.5
191,4.333333333333333,4.5
192,4.0,3.75
193,4.333333333333333,3.25
194,4.666666666666667,3.75
195,4.666666666666667,3.75
196,4.333333333333333,3.75
197,5.0,3.0
198,4.333333333333333,5.0
199,4.666666666666667,4.0
200,5.0,4.25
201,4.333333333333333,2.75
202,4.333333333333333,4.0
203,4.333333333333333,4.5
204,5.0,5.0
205,5.0,4.5
206,4.666666666666667,4.0
207,3.333333333333333,3.5
208,3.333333333333333,3.5
209,4.666666666666667,3.5
210,4.0,4.0
211,4.333333333333333,3.25
212,4.0,3.75
213,3.6666666666666665,2.75
214,4.333333333333333,4.5
215,4.333333333333333,5.0
216,4.333333333333333,4.25
217,4.333333333333333,3.5
218,4.333333333333333,3.75
219,3.0,4.25
220,3.333333333333333,3.75
221,4.0,4.0
222,4.0,3.75
223,3.6666666666666665,4.0
224,5.0,4.0
225,4.666666666666667,4.25
226,5.0,4.0
227,4.333333333333333,4.25
228,4.0,4.0
229,5.0,5.0
230,4.0,4.25
231,5.0,4.5
232,3.0,4.0
233,2.6666666666666665,2.75
234,2.6666666666666665,2.75
235,4.0,4.5
236,4.666666666666667,3.5
237,4.666666666666667,4.25
238,4.666666666666667,4.5
239,4.333333333333333,3.5
240,4.333333333333333,3.5
241,2.6666666666666665,2.5
242,2.6666666666666665,2.75
243,2.333333333333333,2.75
244,2.6666666666666665,3.0
245,3.0,2.5
246,3.0,2.5
247,2.6666666666666665,3.0
248,2.6666666666666665,2.75
249,2.6666666666666665,3.0
250,2.6666666666666665,2.75
251,2.6666666666666665,2.5
252,3.0,3.0
253,4.666666666666667,4.25
254,2.6666666666666665,2.75
255,2.6666666666666665,2.75
256,3.6666666666666665,4.5
257,4.0,3.25
258,3.6666666666666665,3.75
259,3.6666666666666665,4.5
260,4.333333333333333,3.75
261,5.0,4.75
262,4.666666666666667,3.5
263,2.6666666666666665,3.0
264,4.666666666666667,4.0
265,3.0,2.75
266,3.333333333333333,4.0
267,5.0,4.0
268,4.333333333333333,3.75
269,3.6666666666666665,2.5
