K,covariance_type,n_init,random_seed,converged,n_iter,log_likelihood,n_params,AIC,BIC,entropy,min_class_pct,min_class_N,class_sizes
2,full,1000,42,True,7,-2927.589537432892,11,5877.179074865784,5932.8537529017985,0.599786309643466,25.300171526586624,295,"[871, 295]"
3,full,1000,42,True,15,-2893.2943393978667,17,5820.588678795733,5906.631363033211,0.6110818440435285,7.547169811320755,88,"[758, 320, 88]"
4,full,1000,42,True,26,-2247.322134099586,23,4540.644268199172,4657.054958638112,0.4236446643838081,10.634648370497427,124,"[124, 487, 169, 386]"
5,full,1000,42,True,36,-2214.319855274666,29,4486.639710549332,4633.418407189735,0.34162489676059954,4.802744425385934,56,"[598, 211, 124, 177, 56]"
6,full,1000,42,True,43,-941.0133699246958,35,1952.0267398493916,2129.1734426912567,0.14184975230456337,4.631217838765009,54,"[124, 377, 262, 90, 54, 259]"
7,full,1000,42,True,53,-663.2542456066219,41,1408.5084912132438,1616.0232002565717,0.09912565696660028,6.003430531732419,70,"[281, 125, 108, 264, 245, 70, 73]"
8,full,1000,42,True,50,2141.4667238690863,47,-4188.933447738173,-3951.050732493382,0.01853268801683718,5.831903945111493,68,"[124, 116, 128, 259, 185, 68, 155, 131]"
9,full,1000,42,True,41,2160.469328438054,53,-4214.938656876108,-3946.6879354298553,0.020814388778423867,1.4579759862778732,17,"[185, 130, 259, 49, 116, 155, 17, 131, 124]"
10,full,1000,42,True,45,2861.0311431735645,59,-5604.062286347129,-5305.443558699413,0.00032506288119432924,0.8576329331046313,10,"[131, 94, 116, 259, 185, 10, 49, 43, 155, 124]"
2,diag,1000,42,True,4,-3044.6703586481517,9,6107.340717296303,6152.892726598498,0.3271040042042897,29.245283018867923,341,"[825, 341]"
3,diag,1000,42,True,5,-2950.9176968561146,14,5929.835393712229,6000.694074848975,0.2918660780008816,15.3516295025729,179,"[725, 179, 262]"
4,diag,1000,42,True,54,-2283.2797918928904,19,4604.559583785781,4700.724936757079,0.17443032756430218,4.1166380789022305,48,"[642, 48, 352, 124]"
5,diag,1000,42,True,57,-1158.8179025193874,24,2365.635805038775,2487.1078298446255,0.05215577967465762,9.005145797598628,105,"[105, 108, 245, 354, 354]"
6,diag,1000,42,True,31,-346.9377703558257,29,751.8755407116514,898.6542373520541,0.03222616196180438,8.662092624356776,101,"[245, 101, 151, 354, 207, 108]"
7,diag,1000,42,True,41,-118.87250653094115,34,305.74501306188233,477.8303815368372,0.04211348049606767,3.0017152658662094,35,"[281, 105, 207, 124, 35, 155, 259]"
8,diag,1000,42,True,30,1164.710108415672,39,-2251.420216831344,-2054.028176521837,0.025524354039459227,5.4888507718696395,64,"[245, 105, 64, 187, 151, 116, 131, 167]"
9,diag,1000,42,True,36,2837.5624506938557,44,-5587.124901387711,-5364.4261892436525,9.77240256276797e-05,3.687821612349914,43,"[185, 43, 259, 59, 155, 116, 94, 131, 124]"
10,diag,1000,42,True,33,2854.533463359709,49,-5611.066926719418,-5363.0615427408065,0.00010100164300842647,0.2572898799313894,3,"[59, 131, 259, 43, 3, 185, 155, 124, 94, 113]"
