K,fold,bic_train,ll_train,ll_test
2,1,4792.184550633191,-2358.486944835825,-569.2231475837242
2,2,4758.194561724417,-2341.486052257548,-587.0725295778084
2,3,4712.498094468007,-2318.6378186293427,-612.2604968352554
2,4,4789.765542724182,-2357.2715427574303,-572.799243434564
2,5,4726.497358039533,-2325.637450415106,-603.1445800202412
3,1,4770.770628049642,-2327.267985099993,-566.9870788273221
3,2,4745.427712190978,-2314.5874118882866,-580.6172287897077
3,3,4711.541121621091,-2297.6441166033437,-600.2756709779754
3,4,4775.445202082934,-2329.5961568342645,-565.6751038998053
3,5,4704.0319164032735,-2293.8895139944343,-602.299777840311
4,1,3909.017502147121,-1875.879423704676,-439.2654895753801
4,2,3864.953422693762,-1853.835051537137,-463.4070000626814
4,3,3646.738524879072,-1744.7276026297914,-499.5738645858066
4,4,3829.4391994636535,-1836.0779399220824,-478.6899383513044
4,5,3716.796831337051,-1779.7567558587812,-488.9012403259978
5,1,3747.242385317729,-1774.4798668459234,-452.0751103876672
5,2,1988.5182147574544,-895.1022319664407,-252.9690061172828
5,3,3668.0323517288098,-1734.8593004521183,-496.1691714453183
5,4,3844.715930848212,-1823.2010900118196,-479.7828852239179
5,5,1782.171355428697,-791.9288023020622,-356.7308675696209
6,1,2113.7309130654767,-937.2121322757404,-163.70242198750935
6,2,1961.3622237499064,-861.0090208601247,-242.4210600179157
6,3,2060.983584247716,-910.8197011090294,-213.63087976935876
6,4,3823.995650130573,-1792.3257340504576,-474.6444921459543
6,5,1753.8889017871322,-757.2723598787376,-343.4768109213235
7,1,891.705296990765,-305.6873257943279,-6.4048542164999525
7,2,783.9365097832721,-251.78094827426548,-51.09492142550447
7,3,-2238.2604784946247,1259.3175458646829,265.58414344833807
7,4,698.3981888038572,-209.01178778455807,-140.49184168390244
7,5,181.0130399609626,49.680786636889245,-113.84846702167357
